slot1,slot2,result,tier_change,has_swap
Bandage,Bandage,Bandage,0,False
Bandage,Leather Glove,Leather Glove,0,False
Bandage,Reinforced Glove,Reinforced Glove,0,False
Bandage,Knuckles,Knuckles,0,False
Bandage,Ring Sleeve,Knuckles,0,False
Bandage,Chain Sleeve,Knuckles,0,False
Bandage,Gauntlet,Chain Sleeve,0,False
Bandage,Vambrace,Ring Sleeve,0,False
Bandage,Plate Glove,Chain Sleeve,0,False
Bandage,Rondanche,Gauntlet,0,False
Bandage,Tilt Glove,Vambrace,0,False
Bandage,Freiturnier,Plate Glove,0,False
Bandage,Fluted Glove,Rondanche,0,False
Bandage,Hoplite Glove,Tilt Glove,0,False
Bandage,Jazeraint Glove,Freiturnier,0,False
Bandage,Dread Glove,Fluted Glove,0,False
Leather Glove,Leather Glove,Leather Glove,0,False
Leather Glove,Reinforced Glove,Reinforced Glove,0,False
Leather Glove,Knuckles,Knuckles,0,False
Leather Glove,Ring Sleeve,Chain Sleeve,1,False
Leather Glove,Chain Sleeve,Ring Sleeve,0,False
Leather Glove,Gauntlet,Knuckles,0,False
Leather Glove,Vambrace,Chain Sleeve,0,False
Leather Glove,Plate Glove,Ring Sleeve,0,False
Leather Glove,Rondanche,Chain Sleeve,0,False
Leather Glove,Tilt Glove,Gauntlet,0,False
Leather Glove,Freiturnier,Vambrace,0,False
Leather Glove,Fluted Glove,Plate Glove,0,False
Leather Glove,Hoplite Glove,Rondanche,0,False
Leather Glove,Jazeraint Glove,Tilt Glove,0,False
Leather Glove,Dread Glove,Freiturnier,0,False
Reinforced Glove,Reinforced Glove,Reinforced Glove,0,False
Reinforced Glove,Knuckles,Ring Sleeve,1,False
Reinforced Glove,Ring Sleeve,Knuckles,0,False
Reinforced Glove,Chain Sleeve,Gauntlet,1,False
Reinforced Glove,Gauntlet,Chain Sleeve,0,False
Reinforced Glove,Vambrace,Vambrace,0,False
Reinforced Glove,Plate Glove,Vambrace,0,False
Reinforced Glove,Rondanche,Ring Sleeve,0,False
Reinforced Glove,Tilt Glove,Chain Sleeve,0,False
Reinforced Glove,Freiturnier,Gauntlet,0,False
Reinforced Glove,Fluted Glove,Vambrace,0,False
Reinforced Glove,Hoplite Glove,Plate Glove,0,False
Reinforced Glove,Jazeraint Glove,Rondanche,0,False
Reinforced Glove,Dread Glove,Tilt Glove,0,False
Knuckles,Knuckles,Knuckles,0,False
Knuckles,Ring Sleeve,Chain Sleeve,1,False
Knuckles,Chain Sleeve,Chain Sleeve,0,False
Knuckles,Gauntlet,Knuckles,0,False
Knuckles,Vambrace,Gauntlet,0,False
Knuckles,Plate Glove,Plate Glove,0,False
Knuckles,Rondanche,Rondanche,0,False
Knuckles,Tilt Glove,Ring Sleeve,0,False
Knuckles,Freiturnier,Chain Sleeve,0,False
Knuckles,Fluted Glove,Gauntlet,0,False
Knuckles,Hoplite Glove,Vambrace,0,False
Knuckles,Jazeraint Glove,Plate Glove,0,False
Knuckles,Dread Glove,Rondanche,0,False
Ring Sleeve,Ring Sleeve,Ring Sleeve,0,False
Ring Sleeve,Chain Sleeve,Gauntlet,1,False
Ring Sleeve,Gauntlet,Vambrace,1,False
Ring Sleeve,Vambrace,Vambrace,0,False
