slot1,slot2,result,tier_change,has_swap
Jerkin,Bandage,Jerkin,0,False
Jerkin,Leather Glove,Leather Glove,0,False
Jerkin,Reinforced Glove,Reinforced Glove,0,False
Jerkin,Knuckles,Knuckles,0,False
Jerkin,Ring Sleeve,Knuckles,0,False
Jerkin,Chain Sleeve,Knuckles,0,False
Jerkin,Gauntlet,Knuckles,0,False
Jerkin,Vambrace,Ring Sleeve,0,False
Jerkin,Plate Glove,Chain Sleeve,0,False
Jerkin,Rondanche,Gauntlet,0,False
Jerkin,Tilt Glove,Vambrace,0,False
Jerkin,Freiturnier,Plate Glove,0,False
Jerkin,Fluted Glove,Rondanche,0,False
Jerkin,Hoplite Glove,Tilt Glove,0,False
Jerkin,Jazeraint Glove,Freiturnier,0,False
Jerkin,Dread Glove,Fluted Glove,0,False
Hauberk,Bandage,Hauberk,0,False
Hauberk,Leather Glove,Leather Glove,0,False
Hauberk,Reinforced Glove,Reinforced Glove,0,False
Hauberk,Knuckles,Knuckles,0,False
Hauberk,Ring Sleeve,Knuckles,0,False
Hauberk,Chain Sleeve,Knuckles,0,False
Hauberk,Gauntlet,Knuckles,0,False
Hauberk,Vambrace,Ring Sleeve,0,False
Hauberk,Plate Glove,Chain Sleeve,0,False
Hauberk,Rondanche,Gauntlet,0,False
Hauberk,Tilt Glove,Vambrace,0,False
Hauberk,Freiturnier,Plate Glove,0,False
Hauberk,Fluted Glove,Rondanche,0,False
Hauberk,Hoplite Glove,Tilt Glove,0,False
Hauberk,Jazeraint Glove,Freiturnier,0,False
Hauberk,Dread Glove,Fluted Glove,0,False
Wizard Robe,Bandage,Wizard Robe,0,False
Wizard Robe,Leather Glove,Wizard Robe,0,False
Wizard Robe,Reinforced Glove,Reinforced Glove,0,False
Wizard Robe,Knuckles,Knuckles,0,False
Wizard Robe,Ring Sleeve,Knuckles,0,False
Wizard Robe,Chain Sleeve,Knuckles,0,False
Wizard Robe,Gauntlet,Knuckles,0,False
Wizard Robe,Vambrace,Ring Sleeve,0,False
Wizard Robe,Plate Glove,Chain Sleeve,0,False
Wizard Robe,Rondanche,Gauntlet,0,False
Wizard Robe,Tilt Glove,Vambrace,0,False
Wizard Robe,Freiturnier,Plate Glove,0,False
Wizard Robe,Fluted Glove,Rondanche,0,False
Wizard Robe,Hoplite Glove,Tilt Glove,0,False
Wizard Robe,Jazeraint Glove,Freiturnier,0,False
Wizard Robe,Dread Glove,Fluted Glove,0,False
Cuirass,Bandage,Cuirass,0,False
Cuirass,Leather Glove,Cuirass,0,False
Cuirass,Reinforced Glove,Cuirass,0,False
Cuirass,Knuckles,Bone Helm,0,False
Cuirass,Ring Sleeve,Knuckles,0,False
Cuirass,Chain Sleeve,Knuckles,0,False
Cuirass,Gauntlet,Knuckles,0,False
Cuirass,Vambrace,Ring Sleeve,0,False
Cuirass,Plate Glove,Chain Sleeve,0,False
Cuirass,Rondanche,Gauntlet,0,False
Cuirass,Tilt Glove,Vambrace,0,False
Cuirass,Freiturnier,Plate Glove,0,False
Cuirass,Fluted Glove,Rondanche,0,False
Cuirass,Hoplite Glove,Tilt Glove,0,False
Cuirass,Jazeraint Glove,Freiturnier,0,False
Cuirass,Dread Glove,Fluted Glove,0,False
Banded Mail,Bandage,Banded Mail,0,False
Banded Mail,Leather Glove,Banded Mail,0,False
Banded Mail,Reinforced Glove,Banded Mail,0,False
Banded Mail,Knuckles,Banded Mail,0,False
Banded Mail,Ring Sleeve,Chain Coif,0,False
Banded Mail,Chain Sleeve,Knuckles,0,False
Banded Mail,Gauntlet,Knuckles,0,False
Banded Mail,Vambrace,Ring Sleeve,0,False
Banded Mail,Plate Glove,Chain Sleeve,0,False
Banded Mail,Rondanche,Gauntlet,0,False
Banded Mail,Tilt Glove,Vambrace,0,False
Banded Mail,Freiturnier,Plate Glove,0,False
Banded Mail,Fluted Glove,Rondanche,0,False
Banded Mail,Hoplite Glove,Tilt Glove,0,False
Banded Mail,Jazeraint Glove,Freiturnier,0,False
Banded Mail,Dread Glove,Fluted Glove,0,False
Ring Mail,Bandage,Banded Mail,0,False
Ring Mail,Leather Glove,Banded Mail,0,False
Ring Mail,Reinforced Glove,Banded Mail,0,False
Ring Mail,Knuckles,Banded Mail,0,False
Ring Mail,Ring Sleeve,Ring Mail,0,False
Ring Mail,Chain Sleeve,Spangenhelm,0,False
Ring Mail,Gauntlet,Ring Sleeve,0,False
Ring Mail,Vambrace,Ring Sleeve,0,False
Ring Mail,Plate Glove,Ring Sleeve,0,False
Ring Mail,Rondanche,Chain Sleeve,0,False
Ring Mail,Tilt Glove,Gauntlet,0,False
Ring Mail,Freiturnier,Vambrace,0,False
Ring Mail,Fluted Glove,Plate Glove,0,False
Ring Mail,Hoplite Glove,Rondanche,0,False
Ring Mail,Jazeraint Glove,Tilt Glove,0,False
Ring Mail,Dread Glove,Freiturnier,0,False
Chain Mail,Bandage,Banded Mail,0,False
Chain Mail,Leather Glove,Banded Mail,0,False
Chain Mail,Reinforced Glove,Banded Mail,0,False
Chain Mail,Knuckles,Banded Mail,0,False
Chain Mail,Ring Sleeve,Ring Mail,0,False
Chain Mail,Chain Sleeve,Chain Mail,0,False
Chain Mail,Gauntlet,Cabasset,0,False
Chain Mail,Vambrace,Chain Sleeve,0,False
Chain Mail,Plate Glove,Chain Sleeve,0,False
Chain Mail,Rondanche,Chain Sleeve,0,False
Chain Mail,Tilt Glove,Chain Sleeve,0,False
Chain Mail,Freiturnier,Gauntlet,0,False
Chain Mail,Fluted Glove,Vambrace,0,False
