slot1,slot2,result,tier_change,has_swap
Jerkin,Sandals,Jerkin,0,False
Jerkin,Boots,Boots,0,False
Jerkin,Long Boots,Long Boots,0,False
Jerkin,Cuisse,Cuisse,0,False
Jerkin,Light Greave,Cuisse,0,False
Jerkin,Ring Leggings,Cuisse,0,False
Jerkin,Chain Leggings,Cuisse,0,False
Jerkin,Fusskampf,Light Greave,0,False
Jerkin,Poleyn,Ring Leggings,0,False
Jerkin,Jambeau,Chain Leggings,0,False
Jerkin,Missaglia,Fusskampf,0,False
Jerkin,Plate Leggings,Poleyn,0,False
Jerkin,Fluted Leggings,Jambeau,0,False
Jerkin,Hoplite Leggings,Missaglia,0,False
Jerkin,Jazeraint Leggings,Plate Leggings,0,False
Jerkin,Dread Leggings,Fluted Leggings,0,False
Hauberk,Sandals,Hauberk,0,False
Hauberk,Boots,Boots,0,False
Hauberk,Long Boots,Long Boots,0,False
Hauberk,Cuisse,Cuisse,0,False
Hauberk,Light Greave,Cuisse,0,False
Hauberk,Ring Leggings,Cuisse,0,False
Hauberk,Chain Leggings,Cuisse,0,False
Hauberk,Fusskampf,Light Greave,0,False
Hauberk,Poleyn,Ring Leggings,0,False
Hauberk,Jambeau,Chain Leggings,0,False
Hauberk,Missaglia,Fusskampf,0,False
Hauberk,Plate Leggings,Poleyn,0,False
Hauberk,Fluted Leggings,Jambeau,0,False
Hauberk,Hoplite Leggings,Missaglia,0,False
Hauberk,Jazeraint Leggings,Plate Leggings,0,False
Hauberk,Dread Leggings,Fluted Leggings,0,False
Wizard Robe,Sandals,Wizard Robe,0,False
Wizard Robe,Boots,Wizard Robe,0,False
Wizard Robe,Long Boots,Long Boots,0,False
Wizard Robe,Cuisse,Cuisse,0,False
Wizard Robe,Light Greave,Cuisse,0,False
Wizard Robe,Ring Leggings,Cuisse,0,False
Wizard Robe,Chain Leggings,Cuisse,0,False
Wizard Robe,Fusskampf,Light Greave,0,False
Wizard Robe,Poleyn,Ring Leggings,0,False
Wizard Robe,Jambeau,Chain Leggings,0,False
Wizard Robe,Missaglia,Fusskampf,0,False
Wizard Robe,Plate Leggings,Poleyn,0,False
Wizard Robe,Fluted Leggings,Jambeau,0,False
Wizard Robe,Hoplite Leggings,Missaglia,0,False
Wizard Robe,Jazeraint Leggings,Plate Leggings,0,False
Wizard Robe,Dread Leggings,Fluted Leggings,0,False
Cuirass,Sandals,Cuirass,0,False
Cuirass,Boots,Cuirass,0,False
Cuirass,Long Boots,Cuirass,0,False
Cuirass,Cuisse,Knuckles,0,False
Cuirass,Light Greave,Cuisse,0,False
Cuirass,Ring Leggings,Cuisse,0,False
Cuirass,Chain Leggings,Cuisse,0,False
Cuirass,Fusskampf,Light Greave,0,False
Cuirass,Poleyn,Ring Leggings,0,False
Cuirass,Jambeau,Chain Leggings,0,False
Cuirass,Missaglia,Fusskampf,0,False
Cuirass,Plate Leggings,Poleyn,0,False
Cuirass,Fluted Leggings,Jambeau,0,False
Cuirass,Hoplite Leggings,Missaglia,0,False
Cuirass,Jazeraint Leggings,Plate Leggings,0,False
Cuirass,Dread Leggings,Fluted Leggings,0,False
Banded Mail,Sandals,Banded Mail,0,False
Banded Mail,Boots,Banded Mail,0,False
Banded Mail,Long Boots,Banded Mail,0,False
Banded Mail,Cuisse,Banded Mail,0,False
Banded Mail,Light Greave,Ring Sleeve,0,False
Banded Mail,Ring Leggings,Cuisse,0,False
Banded Mail,Chain Leggings,Cuisse,0,False
Banded Mail,Fusskampf,Light Greave,0,False
Banded Mail,Poleyn,Ring Leggings,0,False
Banded Mail,Jambeau,Chain Leggings,0,False
Banded Mail,Missaglia,Fusskampf,0,False
Banded Mail,Plate Leggings,Poleyn,0,False
Banded Mail,Fluted Leggings,Jambeau,0,False
Banded Mail,Hoplite Leggings,Missaglia,0,True
Hoplite Leggings,Banded Mail,Jambeau,0,True
Banded Mail,Jazeraint Leggings,Plate Leggings,0,False
Banded Mail,Dread Leggings,Fluted Leggings,0,False
Ring Mail,Sandals,Banded Mail,0,False
Ring Mail,Boots,Banded Mail,0,False
Ring Mail,Long Boots,Banded Mail,0,False
Ring Mail,Cuisse,Banded Mail,0,False
Ring Mail,Light Greave,Ring Mail,0,False
Ring Mail,Ring Leggings,Chain Sleeve,0,False
Ring Mail,Chain Leggings,Light Greave,0,False
Ring Mail,Fusskampf,Light Greave,0,False
Ring Mail,Poleyn,Light Greave,0,False
Ring Mail,Jambeau,Ring Leggings,0,False
Ring Mail,Missaglia,Chain Leggings,0,False
Ring Mail,Plate Leggings,Fusskampf,0,False
Ring Mail,Fluted Leggings,Poleyn,0,True
Fluted Leggings,Ring Mail,Fusskampf,0,True
Ring Mail,Hoplite Leggings,Jambeau,0,True
Hoplite Leggings,Ring Mail,Poleyn,0,True
Ring Mail,Jazeraint Leggings,Missaglia,0,False
Ring Mail,Dread Leggings,Plate Leggings,0,False
Chain Mail,Sandals,Banded Mail,0,False
Chain Mail,Boots,Banded Mail,0,False
Chain Mail,Long Boots,Banded Mail,0,False
Chain Mail,Cuisse,Banded Mail,0,False
Chain Mail,Light Greave,Ring Mail,0,False
Chain Mail,Ring Leggings,Chain Mail,0,False
Chain Mail,Chain Leggings,Gauntlet,0,False
Chain Mail,Fusskampf,Ring Leggings,0,False
Chain Mail,Poleyn,Ring Leggings,0,False
Chain Mail,Jambeau,Ring Leggings,0,False
Chain Mail,Missaglia,Ring Leggings,0,False
Chain Mail,Plate Leggings,Chain Leggings,0,True
Plate Leggings,Chain Mail,Ring Leggings,0,True
Chain Mail,Fluted Leggings,Fusskampf,0,True
Fluted Leggings,Chain Mail,Chain Leggings,0,True
Chain Mail,Hoplite Leggings,Poleyn,0,True
Hoplite Leggings,Chain Mail,Fusskampf,0,True
Chain Mail,Jazeraint Leggings,Jambeau,0,False
Chain Mail,Dread Leggings,Missaglia,0,False
Breastplate,Sandals,Banded Mail,0,False
Breastplate,Boots,Banded Mail,0,False
Breastplate,Long Boots,Banded Mail,0,False
Breastplate,Cuisse,Banded Mail,0,False
Breastplate,Light Greave,Ring Mail,0,False
Breastplate,Ring Leggings,Chain Mail,0,False
Breastplate,Chain Leggings,Breastplate,0,False
Breastplate,Fusskampf,Vambrace,0,False
Breastplate,Poleyn,Chain Leggings,0,False
Breastplate,Jambeau,Chain Leggings,0,False
Breastplate,Missaglia,Chain Leggings,0,False
Breastplate,Plate Leggings,Chain Leggings,0,False
Breastplate,Fluted Leggings,Chain Leggings,0,False
Breastplate,Hoplite Leggings,Fusskampf,0,True
Hoplite Leggings,Breastplate,Chain Leggings,0,True
Breastplate,Jazeraint Leggings,Poleyn,0,False
Breastplate,Dread Leggings,Jambeau,0,False
Segmentata,Sandals,Ring Mail,0,False
Segmentata,Boots,Ring Mail,0,False
Segmentata,Long Boots,Ring Mail,0,False
Segmentata,Cuisse,Ring Mail,0,False
Segmentata,Light Greave,Ring Mail,0,False
Segmentata,Ring Leggings,Chain Mail,0,False
Segmentata,Chain Leggings,Breastplate,0,False
Segmentata,Fusskampf,Segmentata,0,False
Segmentata,Poleyn,Plate Glove,0,False
Segmentata,Jambeau,Fusskampf,0,False
Segmentata,Missaglia,Fusskampf,0,False
Segmentata,Plate Leggings,Fusskampf,0,False
Segmentata,Fluted Leggings,Fusskampf,0,False
Segmentata,Hoplite Leggings,Fusskampf,0,False
Segmentata,Jazeraint Leggings,Fusskampf,0,False
Segmentata,Dread Leggings,Poleyn,0,False
Scale Armor,Sandals,Chain Mail,0,False
Scale Armor,Boots,Chain Mail,0,False
Scale Armor,Long Boots,Chain Mail,0,False
Scale Armor,Cuisse,Chain Mail,0,False
Scale Armor,Light Greave,Ring Mail,0,False
Scale Armor,Ring Leggings,Chain Mail,0,False
Scale Armor,Chain Leggings,Breastplate,0,False
