slot1,slot2,result,tier_change,has_swap
Bandana,Bandage,Bandage,0,False
Bandana,Leather Glove,Leather Glove,0,False
Bandana,Reinforced Glove,Reinforced Glove,0,False
Bandana,Knuckles,Knuckles,0,False
Bandana,Ring Sleeve,Knuckles,0,False
Bandana,Chain Sleeve,Knuckles,0,False
Bandana,Gauntlet,Knuckles,0,False
Bandana,Vambrace,Chain Mail,0,True
Vambrace,Bandana,Ring Sleeve,0,True
Bandana,Plate Glove,Chain Sleeve,0,False
Bandana,Rondanche,Gauntlet,0,False
Bandana,Tilt Glove,Vambrace,0,False
Bandana,Freiturnier,Plate Glove,0,False
Bandana,Fluted Glove,Rondanche,0,False
Bandana,Hoplite Glove,Tilt Glove,0,False
Bandana,Jazeraint Glove,Freiturnier,0,False
Bandana,Dread Glove,Fluted Glove,0,False
Bear Mask,Bandage,Bear Mask,0,False
Bear Mask,Leather Glove,Leather Glove,0,False
Bear Mask,Reinforced Glove,Reinforced Glove,0,False
Bear Mask,Knuckles,Knuckles,0,False
Bear Mask,Ring Sleeve,Knuckles,0,False
Bear Mask,Chain Sleeve,Knuckles,0,False
Bear Mask,Gauntlet,Knuckles,0,False
Bear Mask,Vambrace,Chain Mail,0,True
Vambrace,Bear Mask,Ring Sleeve,0,True
Bear Mask,Plate Glove,Chain Sleeve,0,False
Bear Mask,Rondanche,Gauntlet,0,False
Bear Mask,Tilt Glove,Vambrace,0,False
Bear Mask,Freiturnier,Plate Glove,0,False
Bear Mask,Fluted Glove,Rondanche,0,False
Bear Mask,Hoplite Glove,Tilt Glove,0,False
Bear Mask,Jazeraint Glove,Freiturnier,0,False
Bear Mask,Dread Glove,Fluted Glove,0,False
Wizard Hat,Bandage,Wizard Hat,0,False
Wizard Hat,Leather Glove,Wizard Hat,0,False
Wizard Hat,Reinforced Glove,Reinforced Glove,0,False
Wizard Hat,Knuckles,Knuckles,0,False
Wizard Hat,Ring Sleeve,Knuckles,0,False
Wizard Hat,Chain Sleeve,Knuckles,0,False
Wizard Hat,Gauntlet,Knuckles,0,False
Wizard Hat,Vambrace,Chain Mail,0,True
Vambrace,Wizard Hat,Ring Sleeve,0,True
Wizard Hat,Plate Glove,Chain Sleeve,0,False
Wizard Hat,Rondanche,Gauntlet,0,False
Wizard Hat,Tilt Glove,Vambrace,0,False
Wizard Hat,Freiturnier,Plate Glove,0,False
Wizard Hat,Fluted Glove,Rondanche,0,False
Wizard Hat,Hoplite Glove,Tilt Glove,0,False
Wizard Hat,Jazeraint Glove,Freiturnier,0,False
Wizard Hat,Dread Glove,Fluted Glove,0,False
Bone Helm,Bandage,Bone Helm,0,False
Bone Helm,Leather Glove,Bone Helm,0,False
Bone Helm,Reinforced Glove,Bone Helm,0,False
Bone Helm,Knuckles,Bone Helm,0,False
Bone Helm,Ring Sleeve,Knuckles,0,False
Bone Helm,Chain Sleeve,Knuckles,0,False
Bone Helm,Gauntlet,Knuckles,0,False
Bone Helm,Vambrace,Chain Mail,0,True
Vambrace,Bone Helm,Ring Sleeve,0,True
Bone Helm,Plate Glove,Chain Sleeve,0,False
Bone Helm,Rondanche,Gauntlet,0,False
Bone Helm,Tilt Glove,Vambrace,0,False
Bone Helm,Freiturnier,Plate Glove,0,False
Bone Helm,Fluted Glove,Rondanche,0,False
Bone Helm,Hoplite Glove,Tilt Glove,0,False
