slot1,slot2,result,tier_change,has_swap
Bandana,Jerkin,Bandana,0,False
Bandana,Hauberk,Hauberk,0,False
Bandana,Wizard Robe,Wizard Robe,0,False
Bandana,Cuirass,Cuirass,0,False
Bandana,Banded Mail,Banded Mail,0,False
Bandana,Ring Mail,Banded Mail,0,False
Bandana,Chain Mail,Banded Mail,0,False
Bandana,Breastplate,Banded Mail,0,False
Bandana,Segmentata,Ring Mail,0,False
Bandana,Scale Armor,Chain Mail,0,False
Bandana,Brigandine,Breastplate,0,False
Bandana,Plate Mail,Segmentata,0,False
Bandana,Fluted Armor,Scale Armor,0,False
Bandana,Hoplite Armor,Brigandine,0,False
Bandana,Jazeraint Armor,Plate Mail,0,False
Bandana,Dread Armor,Fluted Armor,0,False
Bear Mask,Jerkin,Bear Mask,0,False
Bear Mask,Hauberk,Bear Mask,0,False
Bear Mask,Wizard Robe,Wizard Robe,0,False
Bear Mask,Cuirass,Cuirass,0,False
Bear Mask,Banded Mail,Banded Mail,0,False
Bear Mask,Ring Mail,Banded Mail,0,False
Bear Mask,Chain Mail,Banded Mail,0,False
Bear Mask,Breastplate,Banded Mail,0,False
Bear Mask,Segmentata,Ring Mail,0,False
Bear Mask,Scale Armor,Chain Mail,0,False
Bear Mask,Brigandine,Breastplate,0,False
Bear Mask,Plate Mail,Segmentata,0,False
Bear Mask,Fluted Armor,Scale Armor,0,False
Bear Mask,Hoplite Armor,Brigandine,0,False
Bear Mask,Jazeraint Armor,Plate Mail,0,False
Bear Mask,Dread Armor,Fluted Armor,0,False
Wizard Hat,Jerkin,Wizard Hat,0,False
Wizard Hat,Hauberk,Wizard Hat,0,False
Wizard Hat,Wizard Robe,Wizard Hat,0,False
Wizard Hat,Cuirass,Cuirass,0,False
Wizard Hat,Banded Mail,Banded Mail,0,False
Wizard Hat,Ring Mail,Banded Mail,0,False
Wizard Hat,Chain Mail,Banded Mail,0,False
Wizard Hat,Breastplate,Banded Mail,0,False
Wizard Hat,Segmentata,Ring Mail,0,False
Wizard Hat,Scale Armor,Chain Mail,0,False
Wizard Hat,Brigandine,Breastplate,0,False
Wizard Hat,Plate Mail,Segmentata,0,False
Wizard Hat,Fluted Armor,Scale Armor,0,False
Wizard Hat,Hoplite Armor,Brigandine,0,False
Wizard Hat,Jazeraint Armor,Plate Mail,0,False
Wizard Hat,Dread Armor,Fluted Armor,0,False
Bone Helm,Jerkin,Bone Helm,0,False
Bone Helm,Hauberk,Bone Helm,0,False
Bone Helm,Wizard Robe,Bone Helm,0,False
Bone Helm,Cuirass,Cuisse,0,False
Bone Helm,Banded Mail,Banded Mail,0,False
Bone Helm,Ring Mail,Banded Mail,0,False
Bone Helm,Chain Mail,Banded Mail,0,False
Bone Helm,Breastplate,Banded Mail,0,False
Bone Helm,Segmentata,Ring Mail,0,False
Bone Helm,Scale Armor,Chain Mail,0,False
Bone Helm,Brigandine,Breastplate,0,False
Bone Helm,Plate Mail,Segmentata,0,False
Bone Helm,Fluted Armor,Scale Armor,0,False
Bone Helm,Hoplite Armor,Brigandine,0,False
Bone Helm,Jazeraint Armor,Plate Mail,0,False
Bone Helm,Dread Armor,Fluted Armor,0,False
Chain Coif,Jerkin,Bone Helm,0,False
Chain Coif,Hauberk,Bone Helm,0,False
Chain Coif,Wizard Robe,Bone Helm,0,False
Chain Coif,Cuirass,Bone Helm,0,False
Chain Coif,Banded Mail,Light Greave,0,False
Chain Coif,Ring Mail,Ring Mail,0,False
Chain Coif,Chain Mail,Ring Mail,0,False
Chain Coif,Breastplate,Ring Mail,0,False
Chain Coif,Segmentata,Ring Mail,0,False
Chain Coif,Scale Armor,Ring Mail,0,False
Chain Coif,Brigandine,Chain Mail,0,False
Chain Coif,Plate Mail,Breastplate,0,False
Chain Coif,Fluted Armor,Segmentata,0,False
Chain Coif,Hoplite Armor,Scale Armor,0,False
Chain Coif,Jazeraint Armor,Brigandine,0,False
Chain Coif,Dread Armor,Plate Mail,0,False
Spangenhelm,Jerkin,Bone Helm,0,False
Spangenhelm,Hauberk,Bone Helm,0,False
Spangenhelm,Wizard Robe,Bone Helm,0,False
Spangenhelm,Cuirass,Bone Helm,0,False
Spangenhelm,Banded Mail,Bone Helm,0,False
Spangenhelm,Ring Mail,Ring Leggings,0,False
Spangenhelm,Chain Mail,Chain Mail,0,False
Spangenhelm,Breastplate,Chain Mail,0,False
Spangenhelm,Segmentata,Chain Mail,0,False
Spangenhelm,Scale Armor,Chain Mail,0,False
Spangenhelm,Brigandine,Chain Mail,0,False
Spangenhelm,Plate Mail,Chain Mail,0,False
Spangenhelm,Fluted Armor,Breastplate,0,False
Spangenhelm,Hoplite Armor,Segmentata,0,False
Spangenhelm,Jazeraint Armor,Scale Armor,0,False
Spangenhelm,Dread Armor,Brigandine,0,False
Cabasset,Jerkin,Bone Helm,0,False
Cabasset,Hauberk,Bone Helm,0,False
Cabasset,Wizard Robe,Bone Helm,0,False
Cabasset,Cuirass,Bone Helm,0,False
Cabasset,Banded Mail,Bone Helm,0,False
Cabasset,Ring Mail,Chain Coif,0,False
Cabasset,Chain Mail,Chain Leggings,0,False
Cabasset,Breastplate,Breastplate,0,False
Cabasset,Segmentata,Breastplate,0,False
Cabasset,Scale Armor,Breastplate,0,False
Cabasset,Brigandine,Breastplate,0,False
Cabasset,Plate Mail,Breastplate,0,False
Cabasset,Fluted Armor,Breastplate,0,False
Cabasset,Hoplite Armor,Breastplate,0,False
Cabasset,Jazeraint Armor,Segmentata,0,False
Cabasset,Dread Armor,Scale Armor,0,False
Sallet,Jerkin,Chain Coif,0,False
Sallet,Hauberk,Chain Coif,0,False
Sallet,Wizard Robe,Chain Coif,0,False
Sallet,Cuirass,Chain Coif,0,False
Sallet,Banded Mail,Chain Coif,0,False
Sallet,Ring Mail,Chain Coif,0,False
Sallet,Chain Mail,Spangenhelm,0,False
Sallet,Breastplate,Fusskampf,0,False
Sallet,Segmentata,Segmentata,0,False
Sallet,Scale Armor,Segmentata,0,False
Sallet,Brigandine,Segmentata,0,False
Sallet,Plate Mail,Segmentata,0,False
Sallet,Fluted Armor,Segmentata,0,False
Sallet,Hoplite Armor,Segmentata,0,False
Sallet,Jazeraint Armor,Segmentata,0,False
Sallet,Dread Armor,Segmentata,0,False
Barbut,Jerkin,Spangenhelm,0,False
Barbut,Hauberk,Spangenhelm,0,False
Barbut,Wizard Robe,Spangenhelm,0,False
Barbut,Cuirass,Spangenhelm,0,False
Barbut,Banded Mail,Spangenhelm,0,False
Barbut,Ring Mail,Chain Coif,0,False
Barbut,Chain Mail,Spangenhelm,0,False
Barbut,Breastplate,Cabasset,0,False
Barbut,Segmentata,Poleyn,0,False
Barbut,Scale Armor,Segmentata,0,True
Scale Armor,Barbut,Scale Armor,0,True
Barbut,Brigandine,Scale Armor,0,False
Barbut,Plate Mail,Scale Armor,0,False
Barbut,Fluted Armor,Scale Armor,0,False
Barbut,Hoplite Armor,Scale Armor,0,False
Barbut,Jazeraint Armor,Scale Armor,0,False
Barbut,Dread Armor,Scale Armor,0,False
Basinet,Jerkin,Cabasset,0,False
Basinet,Hauberk,Cabasset,0,False
Basinet,Wizard Robe,Cabasset,0,False
Basinet,Cuirass,Cabasset,0,False
Basinet,Banded Mail,Cabasset,0,False
Basinet,Ring Mail,Spangenhelm,0,False
Basinet,Chain Mail,Spangenhelm,0,False
Basinet,Breastplate,Cabasset,0,False
Basinet,Segmentata,Sallet,0,False
Basinet,Scale Armor,Jambeau,0,False
Basinet,Brigandine,Scale Armor,0,True
Brigandine,Basinet,Brigandine,0,True
Basinet,Plate Mail,Brigandine,0,False
Basinet,Fluted Armor,Brigandine,0,False
Basinet,Hoplite Armor,Brigandine,0,False
Basinet,Jazeraint Armor,Brigandine,0,False
Basinet,Dread Armor,Brigandine,0,False
Armet,Jerkin,Sallet,0,False
Armet,Hauberk,Sallet,0,False
Armet,Wizard Robe,Sallet,0,False
Armet,Cuirass,Sallet,0,False
Armet,Banded Mail,Sallet,0,False
Armet,Ring Mail,Cabasset,0,False
Armet,Chain Mail,Spangenhelm,0,False
Armet,Breastplate,Cabasset,0,False
Armet,Segmentata,Sallet,0,False
Armet,Scale Armor,Barbut,0,False
Armet,Brigandine,Missaglia,0,False
Armet,Plate Mail,Brigandine,0,True
Plate Mail,Armet,Plate Mail,0,True
Armet,Fluted Armor,Plate Mail,0,False
Armet,Hoplite Armor,Plate Mail,0,False
Armet,Jazeraint Armor,Plate Mail,0,False
Armet,Dread Armor,Plate Mail,0,False
Close Helm,Jerkin,Barbut,0,False
Close Helm,Hauberk,Barbut,0,False
Close Helm,Wizard Robe,Barbut,0,False
Close Helm,Cuirass,Barbut,0,False
Close Helm,Banded Mail,Barbut,0,False
Close Helm,Ring Mail,Sallet,0,False
Close Helm,Chain Mail,Cabasset,0,False
Close Helm,Breastplate,Cabasset,0,False
Close Helm,Segmentata,Sallet,0,False
Close Helm,Scale Armor,Barbut,0,False
Close Helm,Brigandine,Basinet,0,False
Close Helm,Plate Mail,Plate Leggings,0,False
Close Helm,Fluted Armor,Plate Mail,0,True
Fluted Armor,Close Helm,Fluted Armor,0,True
Close Helm,Hoplite Armor,Fluted Armor,0,False
Close Helm,Jazeraint Armor,Fluted Armor,0,False
Close Helm,Dread Armor,Fluted Armor,0,False
Burgonet,Jerkin,Basinet,0,False
Burgonet,Hauberk,Basinet,0,False
Burgonet,Wizard Robe,Basinet,0,False
Burgonet,Cuirass,Basinet,0,False
Burgonet,Banded Mail,Basinet,0,False
Burgonet,Ring Mail,Barbut,0,False
Burgonet,Chain Mail,Sallet,0,False
Burgonet,Breastplate,Cabasset,0,False
Burgonet,Segmentata,Sallet,0,False
Burgonet,Scale Armor,Barbut,0,False
Burgonet,Brigandine,Basinet,0,False
Burgonet,Plate Mail,Armet,0,False
Burgonet,Fluted Armor,Fluted Leggings,0,False
Burgonet,Hoplite Armor,Fluted Armor,0,True
Hoplite Armor,Burgonet,Hoplite Armor,0,True
Burgonet,Jazeraint Armor,Hoplite Armor,0,False
Burgonet,Dread Armor,Hoplite Armor,0,False
Hoplite Helm,Jerkin,Armet,0,False
Hoplite Helm,Hauberk,Armet,0,False
Hoplite Helm,Wizard Robe,Armet,0,False
Hoplite Helm,Cuirass,Armet,0,False
