slot1,slot2,result,tier_change,has_swap
Bandana,Bandana,Bandana,0,False
Bandana,Bear Mask,Bear Mask,0,False
Bandana,Wizard Hat,Wizard Hat,0,False
Bandana,Bone Helm,Bone Helm,0,False
Bandana,Chain Coif,Bone Helm,0,False
Bandana,Spangenhelm,Bone Helm,0,False
Bandana,Cabasset,Bone Helm,0,False
Bandana,Sallet,Chain Coif,0,False
Bandana,Barbut,Spangenhelm,0,False
Bandana,Basinet,Cabasset,0,False
Bandana,Armet,Sallet,0,False
Bandana,Close Helm,Barbut,0,False
Bandana,Burgonet,Basinet,0,False
Bandana,Hoplite Helm,Armet,0,False
Bandana,Jazeraint Helm,Close Helm,0,False
Bandana,Dread Helm,Burgonet,0,False
Bear Mask,Bear Mask,Bear Mask,0,False
Bear Mask,Wizard Hat,Wizard Hat,0,False
Bear Mask,Bone Helm,Bone Helm,0,False
Bear Mask,Chain Coif,Spangenhelm,1,False
Bear Mask,Spangenhelm,Cabasset,1,False
Bear Mask,Cabasset,Bone Helm,0,False
Bear Mask,Sallet,Spangenhelm,0,False
Bear Mask,Barbut,Chain Coif,0,False
Bear Mask,Basinet,Spangenhelm,0,False
Bear Mask,Armet,Cabasset,0,False
Bear Mask,Close Helm,Sallet,0,False
Bear Mask,Burgonet,Barbut,0,False
Bear Mask,Hoplite Helm,Basinet,0,False
Bear Mask,Jazeraint Helm,Armet,0,False
Bear Mask,Dread Helm,Close Helm,0,False
Wizard Hat,Wizard Hat,Wizard Hat,0,False
Wizard Hat,Bone Helm,Bone Helm,0,False
Wizard Hat,Chain Coif,Bone Helm,0,False
Wizard Hat,Spangenhelm,Bone Helm,0,False
Wizard Hat,Cabasset,Spangenhelm,0,False
Wizard Hat,Sallet,Chain Coif,0,False
Wizard Hat,Barbut,Bone Helm,0,False
Wizard Hat,Basinet,Chain Coif,0,False
Wizard Hat,Armet,Spangenhelm,0,False
Wizard Hat,Close Helm,Cabasset,0,False
Wizard Hat,Burgonet,Sallet,0,False
Wizard Hat,Hoplite Helm,Barbut,0,False
Wizard Hat,Jazeraint Helm,Basinet,0,False
Wizard Hat,Dread Helm,Armet,0,False
Bone Helm,Bone Helm,Bone Helm,0,False
Bone Helm,Chain Coif,Spangenhelm,1,False
Bone Helm,Spangenhelm,Spangenhelm,0,False
Bone Helm,Cabasset,Chain Coif,0,False
Bone Helm,Sallet,Cabasset,0,False
Bone Helm,Barbut,Bone Helm,0,False
Bone Helm,Basinet,Cabasset,0,False
