slot1,slot2,result,tier_change,has_swap
Bandana,Sandals,Sandals,0,False
Bandana,Boots,Boots,0,False
Bandana,Long Boots,Long Boots,0,False
Bandana,Cuisse,Cuisse,0,False
Bandana,Light Greave,Cuisse,0,False
Bandana,Ring Leggings,Cuisse,0,False
Bandana,Chain Leggings,Cuisse,0,False
Bandana,Fusskampf,Light Greave,0,False
Bandana,Poleyn,Ring Leggings,0,False
Bandana,Jambeau,Chain Leggings,0,False
Bandana,Missaglia,Fusskampf,0,False
Bandana,Plate Leggings,Poleyn,0,False
Bandana,Fluted Leggings,Jambeau,0,False
Bandana,Hoplite Leggings,Missaglia,0,False
Bandana,Jazeraint Leggings,Plate Leggings,0,False
Bandana,Dread Leggings,Fluted Leggings,0,False
Bear Mask,Sandals,Bear Mask,0,False
Bear Mask,Boots,Boots,0,False
Bear Mask,Long Boots,Long Boots,0,False
Bear Mask,Cuisse,Cuisse,0,False
Bear Mask,Light Greave,Cuisse,0,False
Bear Mask,Ring Leggings,Cuisse,0,False
Bear Mask,Chain Leggings,Cuisse,0,False
Bear Mask,Fusskampf,Light Greave,0,False
Bear Mask,Poleyn,Ring Leggings,0,False
Bear Mask,Jambeau,Chain Leggings,0,False
Bear Mask,Missaglia,Fusskampf,0,False
Bear Mask,Plate Leggings,Poleyn,0,False
Bear Mask,Fluted Leggings,Jambeau,0,False
Bear Mask,Hoplite Leggings,Missaglia,0,False
Bear Mask,Jazeraint Leggings,Plate Leggings,0,False
Bear Mask,Dread Leggings,Fluted Leggings,0,False
Wizard Hat,Sandals,Wizard Hat,0,False
Wizard Hat,Boots,Wizard Hat,0,False
Wizard Hat,Long Boots,Long Boots,0,False
Wizard Hat,Cuisse,Cuisse,0,False
Wizard Hat,Light Greave,Cuisse,0,False
Wizard Hat,Ring Leggings,Cuisse,0,False
Wizard Hat,Chain Leggings,Cuisse,0,False
Wizard Hat,Fusskampf,Light Greave,0,False
Wizard Hat,Poleyn,Ring Leggings,0,False
Wizard Hat,Jambeau,Chain Leggings,0,False
Wizard Hat,Missaglia,Fusskampf,0,False
Wizard Hat,Plate Leggings,Poleyn,0,False
Wizard Hat,Fluted Leggings,Jambeau,0,False
Wizard Hat,Hoplite Leggings,Missaglia,0,False
Wizard Hat,Jazeraint Leggings,Plate Leggings,0,False
Wizard Hat,Dread Leggings,Fluted Leggings,0,False
Bone Helm,Sandals,Bone Helm,0,False
Bone Helm,Boots,Bone Helm,0,False
Bone Helm,Long Boots,Bone Helm,0,False
Bone Helm,Cuisse,Knuckles,0,False
Bone Helm,Light Greave,Cuisse,0,False
