slot1,slot2,result,tier_change,has_swap
Sandals,Bandage,Sandals,0,False
Sandals,Leather Glove,Leather Glove,0,False
Sandals,Reinforced Glove,Reinforced Glove,0,False
Sandals,Knuckles,Knuckles,0,False
Sandals,Ring Sleeve,Knuckles,0,False
Sandals,Chain Sleeve,Knuckles,0,False
Sandals,Gauntlet,Knuckles,0,False
Sandals,Vambrace,Ring Sleeve,0,False
Sandals,Plate Glove,Chain Sleeve,0,False
Sandals,Rondanche,Gauntlet,0,False
Sandals,Tilt Glove,Vambrace,0,False
Sandals,Freiturnier,Plate Glove,0,False
Sandals,Fluted Glove,Rondanche,0,False
Sandals,Hoplite Glove,Tilt Glove,0,False
Sandals,Jazeraint Glove,Freiturnier,0,False
Sandals,Dread Glove,Fluted Glove,0,False
Boots,Bandage,Boots,0,False
Boots,Leather Glove,Boots,0,False
Boots,Reinforced Glove,Reinforced Glove,0,False
Boots,Knuckles,Knuckles,0,False
Boots,Ring Sleeve,Knuckles,0,False
Boots,Chain Sleeve,Knuckles,0,False
Boots,Gauntlet,Knuckles,0,False
Boots,Vambrace,Ring Sleeve,0,False
Boots,Plate Glove,Chain Sleeve,0,False
Boots,Rondanche,Gauntlet,0,False
Boots,Tilt Glove,Vambrace,0,False
Boots,Freiturnier,Plate Glove,0,False
Boots,Fluted Glove,Rondanche,0,False
Boots,Hoplite Glove,Tilt Glove,0,False
Boots,Jazeraint Glove,Freiturnier,0,False
Boots,Dread Glove,Fluted Glove,0,False
Long Boots,Bandage,Long Boots,0,False
Long Boots,Leather Glove,Long Boots,0,False
Long Boots,Reinforced Glove,Long Boots,0,False
Long Boots,Knuckles,Knuckles,0,False
Long Boots,Ring Sleeve,Knuckles,0,False
Long Boots,Chain Sleeve,Knuckles,0,False
Long Boots,Gauntlet,Knuckles,0,False
Long Boots,Vambrace,Ring Sleeve,0,False
Long Boots,Plate Glove,Chain Sleeve,0,False
Long Boots,Rondanche,Gauntlet,0,False
Long Boots,Tilt Glove,Vambrace,0,False
Long Boots,Freiturnier,Plate Glove,0,False
Long Boots,Fluted Glove,Rondanche,0,False
Long Boots,Hoplite Glove,Tilt Glove,0,False
Long Boots,Jazeraint Glove,Freiturnier,0,False
Long Boots,Dread Glove,Fluted Glove,0,False
Cuisse,Bandage,Cuisse,0,False
Cuisse,Leather Glove,Cuisse,0,False
Cuisse,Reinforced Glove,Cuisse,0,False
Cuisse,Knuckles,Bone Helm,0,False
Cuisse,Ring Sleeve,Knuckles,0,False
Cuisse,Chain Sleeve,Knuckles,0,False
Cuisse,Gauntlet,Knuckles,0,False
Cuisse,Vambrace,Ring Sleeve,0,False
Cuisse,Plate Glove,Chain Sleeve,0,False
Cuisse,Rondanche,Gauntlet,0,False
Cuisse,Tilt Glove,Vambrace,0,False
Cuisse,Freiturnier,Plate Glove,0,False
Cuisse,Fluted Glove,Rondanche,0,False
Cuisse,Hoplite Glove,Tilt Glove,0,False
Cuisse,Jazeraint Glove,Freiturnier,0,False
Cuisse,Dread Glove,Fluted Glove,0,False
Light Greave,Bandage,Cuisse,0,False
Light Greave,Leather Glove,Cuisse,0,False
Light Greave,Reinforced Glove,Cuisse,0,False
Light Greave,Knuckles,Cuisse,0,False
Light Greave,Ring Sleeve,Chain Coif,0,False
Light Greave,Chain Sleeve,Ring Sleeve,0,False
Light Greave,Gauntlet,Ring Sleeve,0,False
Light Greave,Vambrace,Ring Sleeve,0,False
Light Greave,Plate Glove,Ring Sleeve,0,False
Light Greave,Rondanche,Chain Sleeve,0,False
Light Greave,Tilt Glove,Gauntlet,0,False
Light Greave,Freiturnier,Vambrace,0,False
Light Greave,Fluted Glove,Plate Glove,0,False
Light Greave,Hoplite Glove,Rondanche,0,False
Light Greave,Jazeraint Glove,Tilt Glove,0,False
Light Greave,Dread Glove,Freiturnier,0,False
Ring Leggings,Bandage,Cuisse,0,False
Ring Leggings,Leather Glove,Cuisse,0,False
Ring Leggings,Reinforced Glove,Cuisse,0,False
Ring Leggings,Knuckles,Cuisse,0,False
Ring Leggings,Ring Sleeve,Light Greave,0,False
Ring Leggings,Chain Sleeve,Spangenhelm,0,False
Ring Leggings,Gauntlet,Chain Sleeve,0,False
Ring Leggings,Vambrace,Chain Sleeve,0,False
Ring Leggings,Plate Glove,Chain Sleeve,0,False
Ring Leggings,Rondanche,Chain Sleeve,0,False
Ring Leggings,Tilt Glove,Chain Sleeve,0,False
Ring Leggings,Freiturnier,Gauntlet,0,False
Ring Leggings,Fluted Glove,Vambrace,0,False
Ring Leggings,Hoplite Glove,Plate Glove,0,False
Ring Leggings,Jazeraint Glove,Rondanche,0,False
Ring Leggings,Dread Glove,Tilt Glove,0,False
Chain Leggings,Bandage,Cuisse,0,False
Chain Leggings,Leather Glove,Cuisse,0,False
Chain Leggings,Reinforced Glove,Cuisse,0,False
Chain Leggings,Knuckles,Cuisse,0,False
Chain Leggings,Ring Sleeve,Light Greave,0,False
Chain Leggings,Chain Sleeve,Ring Leggings,0,False
Chain Leggings,Gauntlet,Cabasset,0,False
Chain Leggings,Vambrace,Gauntlet,0,False
Chain Leggings,Plate Glove,Gauntlet,0,False
Chain Leggings,Rondanche,Gauntlet,0,False
Chain Leggings,Tilt Glove,Gauntlet,0,False
Chain Leggings,Freiturnier,Gauntlet,0,False
Chain Leggings,Fluted Glove,Gauntlet,0,False
Chain Leggings,Hoplite Glove,Vambrace,0,False
Chain Leggings,Jazeraint Glove,Plate Glove,0,False
Chain Leggings,Dread Glove,Rondanche,0,False
Fusskampf,Bandage,Light Greave,0,False
Fusskampf,Leather Glove,Light Greave,0,False
Fusskampf,Reinforced Glove,Light Greave,0,False
Fusskampf,Knuckles,Light Greave,0,False
Fusskampf,Ring Sleeve,Light Greave,0,False
Fusskampf,Chain Sleeve,Ring Leggings,0,False
Fusskampf,Gauntlet,Chain Leggings,0,False
Fusskampf,Vambrace,Sallet,0,False
Fusskampf,Plate Glove,Vambrace,0,False
Fusskampf,Rondanche,Vambrace,0,False
Fusskampf,Tilt Glove,Vambrace,0,False
Fusskampf,Freiturnier,Vambrace,0,False
Fusskampf,Fluted Glove,Vambrace,0,False
Fusskampf,Hoplite Glove,Vambrace,0,False
Fusskampf,Jazeraint Glove,Vambrace,0,False
Fusskampf,Dread Glove,Plate Glove,0,False
Poleyn,Bandage,Ring Leggings,0,False
Poleyn,Leather Glove,Ring Leggings,0,False
Poleyn,Reinforced Glove,Ring Leggings,0,False
Poleyn,Knuckles,Ring Leggings,0,False
Poleyn,Ring Sleeve,Light Greave,0,False
Poleyn,Chain Sleeve,Ring Leggings,0,False
Poleyn,Gauntlet,Chain Leggings,0,False
Poleyn,Vambrace,Fusskampf,0,False
Poleyn,Plate Glove,Barbut,0,False
Poleyn,Rondanche,Plate Glove,0,False
