slot1,slot2,material1,material2,result_material,tier_change
Helm,Helm,L,L,L,0
Helm,Helm,B,L,B,0
Helm,Helm,I,L,H,1
Helm,Helm,H,L,H,0
Helm,Helm,S,L,H,0
Helm,Helm,D,L,H,0
Body,Helm,L,L,L,0
Body,Helm,B,L,B,0
Body,Helm,I,L,I,0
Body,Helm,H,L,H,0
Body,Helm,S,L,S,0
Body,Helm,D,L,D,0
Leg,Helm,L,L,L,0
Leg,Helm,B,L,B,0
Leg,Helm,I,L,I,0
Leg,Helm,H,L,H,0
Leg,Helm,S,L,S,0
Leg,Helm,D,L,D,0
Arm,Helm,L,L,L,0
Arm,Helm,B,L,B,0
Arm,Helm,I,L,I,0
Arm,Helm,H,L,S,1
Arm,Helm,S,L,S,0
Arm,Helm,D,L,D,0
Helm,Helm,L,B,B,0
Helm,Helm,B,B,B,0
Helm,Helm,I,B,H,1
Helm,Helm,H,B,H,0
Helm,Helm,S,B,H,0
Helm,Helm,D,B,H,0
Body,Helm,L,B,B,0
Body,Helm,B,B,B,0
Body,Helm,I,B,I,0
Body,Helm,H,B,H,0
Body,Helm,S,B,S,0
Body,Helm,D,B,D,0
Leg,Helm,L,B,B,0
Leg,Helm,B,B,B,0
Leg,Helm,I,B,I,0
Leg,Helm,H,B,H,0
Leg,Helm,S,B,S,0
Leg,Helm,D,B,D,0
Arm,Helm,L,B,B,0
Arm,Helm,B,B,B,0
Arm,Helm,I,B,I,0
Arm,Helm,H,B,H,0
Arm,Helm,S,B,S,0
Arm,Helm,D,B,D,0
Helm,Helm,L,I,H,0
Helm,Helm,B,I,H,1
Helm,Helm,I,I,I,0
Helm,Helm,H,I,H,0
Helm,Helm,S,I,H,0
Helm,Helm,D,I,I,0
Body,Helm,L,I,I,0
Body,Helm,B,I,B,0
Body,Helm,I,I,I,0
Body,Helm,H,I,H,0
Body,Helm,S,I,S,0
Body,Helm,D,I,D,0
Leg,Helm,L,I,I,0
Leg,Helm,B,I,B,0
Leg,Helm,I,I,I,0
Leg,Helm,H,I,H,0
Leg,Helm,S,I,S,0
Leg,Helm,D,I,D,0
Arm,Helm,L,I,I,0
Arm,Helm,B,I,B,0
Arm,Helm,I,I,I,0
Arm,Helm,H,I,H,0
Arm,Helm,S,I,S,0
Arm,Helm,D,I,D,0
Helm,Helm,L,H,H,0
Helm,Helm,B,H,H,0
Helm,Helm,I,H,H,0
Helm,Helm,H,H,H,0
Helm,Helm,S,H,H,0
Helm,Helm,D,H,H,0
Body,Helm,L,H,B,0
Body,Helm,B,H,B,0
Body,Helm,I,H,I,0
Body,Helm,H,H,H,0
Body,Helm,S,H,S,0
Body,Helm,D,H,D,0
Leg,Helm,L,H,B,0
Leg,Helm,B,H,B,0
Leg,Helm,I,H,I,0
Leg,Helm,H,H,H,0
Leg,Helm,S,H,S,0
Leg,Helm,D,H,D,0
Arm,Helm,L,H,B,0
Arm,Helm,B,H,B,0
Arm,Helm,I,H,I,0
Arm,Helm,H,H,H,0
Arm,Helm,S,H,S,0
Arm,Helm,D,H,D,0
Helm,Helm,L,S,H,0
Helm,Helm,B,S,H,0
Helm,Helm,I,S,H,0
Helm,Helm,H,S,H,0
Helm,Helm,S,S,S,0
