slot1,slot2,result,tier_change,has_swap
Hand Axe,Hand Axe,Hand Axe,0,False
Hand Axe,Battle Axe,Hand Axe,0,False
Hand Axe,Francisca,Francisca,0,False
Hand Axe,Tabarzin,Hand Axe,0,False
Hand Axe,Chamkaq,Battle Axe,0,False
Hand Axe,Tabar,Francisca,0,False
Hand Axe,Bullova,Tabarzin,0,False
Hand Axe,Crescent,Chamkaq,0,False
Battle Axe,Battle Axe,Battle Axe,0,False
Battle Axe,Francisca,Tabarzin,1,False
Battle Axe,Tabarzin,Francisca,0,False
Battle Axe,Chamkaq,Tabarzin,0,False
Battle Axe,Tabar,Battle Axe,0,False
Battle Axe,Bullova,Francisca,0,False
Battle Axe,Crescent,Tabarzin,0,False
Francisca,Francisca,Francisca,0,False
Francisca,Tabarzin,Chamkaq,1,False
Francisca,Chamkaq,Hand Axe,-1,False
Francisca,Tabar,Chamkaq,0,False
Francisca,Bullova,Battle Axe,-1,False
Francisca,Crescent,Francisca,0,False
Tabarzin,Tabarzin,Tabarzin,0,False
Tabarzin,Chamkaq,Tabar,1,False
Tabarzin,Tabar,Tabarzin,0,False
Tabarzin,Bullova,Tabar,0,False
Tabarzin,Crescent,Battle Axe,-1,False
Chamkaq,Chamkaq,Chamkaq,0,False
Chamkaq,Tabar,Tabar,0,False
Chamkaq,Bullova,Chamkaq,0,False
Chamkaq,Crescent,Hand Axe,-1,False
Tabar,Tabar,Bullova,1,False
Tabar,Bullova,Hand Axe,-1,False
Tabar,Crescent,Tabar,0,False
Bullova,Bullova,Crescent,1,False
Bullova,Crescent,Hand Axe,-1,False
Crescent,Crescent,Crescent,0,False
