slot1,slot2,result,tier_change,has_swap
Hand Axe,Gastraph Bow,Broad Sword,0,False
Hand Axe,Light Crossbow,Gastraph Bow,0,False
Hand Axe,Target Bow,Gastraph Bow,0,False
Hand Axe,Windlass,Gastraph Bow,0,False
Hand Axe,Cranequin,Light Crossbow,0,False
Hand Axe,Lug Crossbow,Target Bow,0,False
Hand Axe,Siege Bow,Windlass,0,False
Hand Axe,Arbalest,Cranequin,0,False
Battle Axe,Gastraph Bow,Battle Knife,0,False
Battle Axe,Light Crossbow,Norse Sword,0,False
Battle Axe,Target Bow,Light Crossbow,0,False
Battle Axe,Windlass,Light Crossbow,0,False
Battle Axe,Cranequin,Light Crossbow,0,False
Battle Axe,Lug Crossbow,Light Crossbow,0,False
Battle Axe,Siege Bow,Target Bow,0,False
Battle Axe,Arbalest,Windlass,0,False
Francisca,Gastraph Bow,Spatha,0,False
Francisca,Light Crossbow,Scramasax,0,False
Francisca,Target Bow,Katana,0,False
Francisca,Windlass,Target Bow,0,False
Francisca,Cranequin,Target Bow,0,False
Francisca,Lug Crossbow,Target Bow,0,False
Francisca,Siege Bow,Target Bow,0,False
Francisca,Arbalest,Target Bow,0,False
Tabarzin,Gastraph Bow,Battle Axe,0,False
Tabarzin,Light Crossbow,Scimitar,0,False
Tabarzin,Target Bow,Dirk,0,False
Tabarzin,Windlass,Executioner,0,False
Tabarzin,Cranequin,Windlass,0,False
Tabarzin,Lug Crossbow,Windlass,0,False
Tabarzin,Siege Bow,Windlass,0,False
Tabarzin,Arbalest,Windlass,0,False
Chamkaq,Gastraph Bow,Francisca,0,False
Chamkaq,Light Crossbow,Battle Axe,0,False
Chamkaq,Target Bow,Rapier,0,False
Chamkaq,Windlass,Throwing Knife,0,False
Chamkaq,Cranequin,Claymore,0,False
Chamkaq,Lug Crossbow,Cranequin,0,False
Chamkaq,Siege Bow,Cranequin,0,False
Chamkaq,Arbalest,Cranequin,0,False
Tabar,Gastraph Bow,Tabarzin,0,False
Tabar,Light Crossbow,Francisca,0,False
Tabar,Target Bow,Francisca,0,False
Tabar,Windlass,Short Sword,0,False
Tabar,Cranequin,Kudi,0,False
Tabar,Lug Crossbow,Schiavona,0,False
Tabar,Siege Bow,Lug Crossbow,0,False
Tabar,Arbalest,Lug Crossbow,0,False
Bullova,Gastraph Bow,Chamkaq,0,False
Bullova,Light Crossbow,Tabarzin,0,False
Bullova,Target Bow,Francisca,0,False
Bullova,Windlass,Tabarzin,0,False
Bullova,Cranequin,Firangi,0,False
Bullova,Lug Crossbow,Cinquedea,0,False
Bullova,Siege Bow,Bastard Sword,0,False
Bullova,Arbalest,Siege Bow,0,False
Crescent,Gastraph Bow,Tabar,0,False
Crescent,Light Crossbow,Chamkaq,0,False
Crescent,Target Bow,Tabarzin,0,False
Crescent,Windlass,Tabarzin,0,False
Crescent,Cranequin,Chamkaq,0,False
Crescent,Lug Crossbow,Shamshir,0,False
Crescent,Siege Bow,Kris,0,False
Crescent,Arbalest,Nodachi,0,False
