slot1,slot2,result,tier_change,has_swap
Battle Knife,Hand Axe,Hand Axe,0,False
Battle Knife,Battle Axe,Hand Axe,0,False
Battle Knife,Francisca,Battle Axe,0,False
Battle Knife,Tabarzin,Francisca,0,False
Battle Knife,Chamkaq,Tabarzin,0,False
Battle Knife,Tabar,Chamkaq,0,False
Battle Knife,Bullova,Tabar,0,False
Battle Knife,Crescent,Bullova,0,False
Scramasax,Hand Axe,Goblin Club,0,False
Scramasax,Battle Axe,Battle Axe,0,False
Scramasax,Francisca,Battle Axe,0,False
Scramasax,Tabarzin,Battle Axe,0,False
Scramasax,Chamkaq,Francisca,0,False
Scramasax,Tabar,Tabarzin,0,False
Scramasax,Bullova,Chamkaq,0,False
Scramasax,Crescent,Tabar,0,False
Dirk,Hand Axe,Battle Knife,0,False
Dirk,Battle Axe,Spiked Club,0,False
Dirk,Francisca,Francisca,0,False
Dirk,Tabarzin,Francisca,0,False
Dirk,Chamkaq,Francisca,0,False
Dirk,Tabar,Francisca,0,False
Dirk,Bullova,Tabarzin,0,False
Dirk,Crescent,Chamkaq,0,False
Throwing Knife,Hand Axe,Battle Knife,0,False
Throwing Knife,Battle Axe,Scramasax,0,False
Throwing Knife,Francisca,Ball Mace,0,False
Throwing Knife,Tabarzin,Wizard Staff,0,False
Throwing Knife,Chamkaq,Tabarzin,0,False
Throwing Knife,Tabar,Tabarzin,0,False
Throwing Knife,Bullova,Tabarzin,0,False
Throwing Knife,Crescent,Tabarzin,0,False
Kudi,Hand Axe,Scramasax,0,False
Kudi,Battle Axe,Scramasax,0,False
Kudi,Francisca,Dirk,0,False
Kudi,Chamkaq,Clergy Rod,0,False
Kudi,Tabar,Chamkaq,0,False
Kudi,Bullova,Chamkaq,0,False
Kudi,Crescent,Chamkaq,0,False
Cinquedea,Hand Axe,Dirk,0,False
Cinquedea,Battle Axe,Scramasax,0,False
Cinquedea,Francisca,Dirk,0,False
Cinquedea,Tabarzin,Guisarme,0,False
Cinquedea,Chamkaq,Morning Star,0,False
Cinquedea,Tabar,Summoner Baton,0,False
Cinquedea,Bullova,Tabar,0,False
Cinquedea,Crescent,Tabar,0,False
Kris,Hand Axe,Throwing Knife,0,False
Kris,Battle Axe,Dirk,0,False
Kris,Francisca,Dirk,0,False
Kris,Tabarzin,Throwing Knife,0,False
Kris,Chamkaq,Large Crescent,0,False
Kris,Tabar,War Hammer,0,False
Kris,Bullova,Shamanic Staff,0,False
Kris,Crescent,Bullova,0,False
Hatchet,Hand Axe,Kudi,0,False
Hatchet,Battle Axe,Throwing Knife,0,False
Hatchet,Francisca,Dirk,0,False
Hatchet,Tabarzin,Throwing Knife,0,False
Hatchet,Chamkaq,Kudi,0,False
Hatchet,Tabar,Sabre Halberd,0,False
Hatchet,Bullova,Bec de Corbin,0,False
Khukuri,Hand Axe,Cinquedea,0,False
Khukuri,Battle Axe,Kudi,0,False
Khukuri,Francisca,Throwing Knife,0,False
Khukuri,Tabarzin,Throwing Knife,0,False
Khukuri,Chamkaq,Kudi,0,False
Khukuri,Tabar,Cinquedea,0,False
Khukuri,Bullova,Balbriggan,0,False
Khukuri,Crescent,War Maul,0,False
Baselard,Hand Axe,Kris,0,False
Baselard,Battle Axe,Cinquedea,0,False
Baselard,Francisca,Kudi,0,False
Baselard,Tabarzin,Throwing Knife,0,False
Baselard,Chamkaq,Kudi,0,False
Baselard,Tabar,Cinquedea,0,False
Baselard,Bullova,Kris,0,False
Baselard,Crescent,Double Blade,0,False
Stiletto,Hand Axe,Hatchet,0,False
Stiletto,Battle Axe,Kris,0,False
Stiletto,Francisca,Cinquedea,0,False
Stiletto,Tabarzin,Kudi,0,False
Stiletto,Chamkaq,Kudi,0,False
Stiletto,Tabar,Cinquedea,0,False
Stiletto,Bullova,Kris,0,False
Stiletto,Crescent,Hatchet,0,False
Jamadhar,Hand Axe,Khukuri,0,False
Jamadhar,Battle Axe,Hatchet,0,False
Jamadhar,Francisca,Kris,0,False
Jamadhar,Tabarzin,Cinquedea,0,False
Jamadhar,Chamkaq,Kudi,0,False
Jamadhar,Tabar,Cinquedea,0,False
Jamadhar,Bullova,Kris,0,False
Jamadhar,Crescent,Hatchet,0,False
