slot1,slot2,result,tier_change,has_swap
Battle Knife,Gastraph Bow,Gastraph Bow,0,False
Battle Knife,Light Crossbow,Gastraph Bow,0,False
Battle Knife,Target Bow,Gastraph Bow,0,False
Battle Knife,Windlass,Gastraph Bow,0,False
Battle Knife,Cranequin,Light Crossbow,0,False
Battle Knife,Lug Crossbow,Target Bow,0,False
Battle Knife,Siege Bow,Windlass,0,False
Battle Knife,Arbalest,Cranequin,0,False
Scramasax,Gastraph Bow,Spatha,0,False
Scramasax,Light Crossbow,Hand Axe,0,False
Scramasax,Target Bow,Light Crossbow,0,False
Scramasax,Windlass,Light Crossbow,0,False
Scramasax,Cranequin,Light Crossbow,0,False
Scramasax,Lug Crossbow,Light Crossbow,0,False
Scramasax,Siege Bow,Target Bow,0,False
Scramasax,Arbalest,Windlass,0,False
Dirk,Gastraph Bow,Broad Sword,0,False
Dirk,Light Crossbow,Scimitar,0,False
Dirk,Target Bow,Battle Axe,0,False
Dirk,Windlass,Target Bow,0,False
Dirk,Cranequin,Target Bow,0,False
Dirk,Lug Crossbow,Target Bow,0,False
Dirk,Siege Bow,Target Bow,0,False
Dirk,Arbalest,Target Bow,0,False
Throwing Knife,Gastraph Bow,Battle Knife,0,False
Throwing Knife,Light Crossbow,Norse Sword,0,False
Throwing Knife,Target Bow,Rapier,0,False
Throwing Knife,Windlass,Francisca,0,False
Throwing Knife,Cranequin,Windlass,0,False
Throwing Knife,Lug Crossbow,Windlass,0,False
Throwing Knife,Siege Bow,Windlass,0,False
Throwing Knife,Arbalest,Windlass,0,False
Kudi,Gastraph Bow,Scramasax,0,False
Kudi,Light Crossbow,Scramasax,0,False
Kudi,Target Bow,Katana,0,False
Kudi,Windlass,Short Sword,0,False
Kudi,Cranequin,Tabarzin,0,False
Kudi,Lug Crossbow,Cranequin,0,False
Kudi,Siege Bow,Cranequin,0,False
Kudi,Arbalest,Cranequin,0,False
Cinquedea,Gastraph Bow,Dirk,0,False
Cinquedea,Light Crossbow,Scramasax,0,False
Cinquedea,Target Bow,Dirk,0,False
Cinquedea,Windlass,Executioner,0,False
Cinquedea,Cranequin,Firangi,0,False
Cinquedea,Lug Crossbow,Chamkaq,0,False
Cinquedea,Siege Bow,Lug Crossbow,0,False
Cinquedea,Arbalest,Lug Crossbow,0,False
Kris,Gastraph Bow,Throwing Knife,0,False
Kris,Light Crossbow,Dirk,0,False
Kris,Target Bow,Dirk,0,False
Kris,Windlass,Throwing Knife,0,False
Kris,Cranequin,Claymore,0,False
Kris,Lug Crossbow,Shamshir,0,False
Kris,Siege Bow,Tabar,0,False
Kris,Arbalest,Siege Bow,0,False
Hatchet,Gastraph Bow,Kudi,0,False
Hatchet,Light Crossbow,Throwing Knife,0,False
Hatchet,Target Bow,Dirk,0,False
Hatchet,Windlass,Throwing Knife,0,False
Hatchet,Cranequin,Kudi,0,False
Hatchet,Lug Crossbow,Schiavona,0,False
Hatchet,Siege Bow,Falchion,0,False
Hatchet,Arbalest,Bullova,0,False
Khukuri,Gastraph Bow,Cinquedea,0,False
Khukuri,Light Crossbow,Kudi,0,False
Khukuri,Target Bow,Throwing Knife,0,False
Khukuri,Windlass,Throwing Knife,0,False
Khukuri,Cranequin,Kudi,0,False
Khukuri,Lug Crossbow,Cinquedea,0,False
Khukuri,Siege Bow,Bastard Sword,0,False
Khukuri,Arbalest,Shotel,0,False
Baselard,Gastraph Bow,Kris,0,False
Baselard,Light Crossbow,Cinquedea,0,False
Baselard,Target Bow,Kudi,0,False
Baselard,Windlass,Throwing Knife,0,False
Baselard,Cranequin,Kudi,0,False
Baselard,Lug Crossbow,Cinquedea,0,False
Baselard,Siege Bow,Kris,0,False
Baselard,Arbalest,Nodachi,0,False
Stiletto,Gastraph Bow,Hatchet,0,False
Stiletto,Light Crossbow,Kris,0,False
Stiletto,Target Bow,Cinquedea,0,False
Stiletto,Windlass,Kudi,0,False
Stiletto,Cranequin,Kudi,0,False
Stiletto,Lug Crossbow,Cinquedea,0,False
Stiletto,Siege Bow,Kris,0,False
Stiletto,Arbalest,Hatchet,0,False
Jamadhar,Gastraph Bow,Khukuri,0,False
Jamadhar,Light Crossbow,Hatchet,0,False
Jamadhar,Target Bow,Kris,0,False
Jamadhar,Windlass,Cinquedea,0,False
Jamadhar,Cranequin,Kudi,0,False
Jamadhar,Lug Crossbow,Cinquedea,0,False
Jamadhar,Siege Bow,Kris,0,False
Jamadhar,Arbalest,Hatchet,0,False
