slot1,slot2,result,tier_change,has_swap
Battle Knife,Broad Sword,Broad Sword,0,False
Battle Knife,Norse Sword,Broad Sword,0,False
Battle Knife,Katana,Broad Sword,0,False
Battle Knife,Executioner,Norse Sword,0,False
Battle Knife,Claymore,Katana,0,False
Battle Knife,Schiavona,Executioner,0,False
Battle Knife,Bastard Sword,Claymore,0,False
Battle Knife,Nodachi,Schiavona,0,False
Battle Knife,Rune Blade,Bastard Sword,0,False
Battle Knife,Holy Win,Battle Knife,0,False
Scramasax,Broad Sword,Battle Knife,0,False
Scramasax,Norse Sword,Hand Axe,0,False
Scramasax,Katana,Norse Sword,0,False
Scramasax,Executioner,Norse Sword,0,False
Scramasax,Claymore,Norse Sword,0,False
Scramasax,Schiavona,Katana,0,False
Scramasax,Bastard Sword,Executioner,0,False
Scramasax,Nodachi,Claymore,0,False
Scramasax,Rune Blade,Schiavona,0,False
Scramasax,Holy Win,Scramasax,0,False
Dirk,Broad Sword,Battle Knife,0,False
Dirk,Norse Sword,Battle Knife,0,False
Dirk,Katana,Battle Axe,0,False
Dirk,Executioner,Katana,0,False
Dirk,Claymore,Katana,0,False
Dirk,Schiavona,Katana,0,False
Dirk,Bastard Sword,Katana,0,False
Dirk,Nodachi,Executioner,0,False
Dirk,Rune Blade,Claymore,0,False
Dirk,Holy Win,Dirk,0,False
Throwing Knife,Broad Sword,Battle Knife,0,False
Throwing Knife,Norse Sword,Scramasax,0,False
Throwing Knife,Katana,Goblin Club,0,False
Throwing Knife,Executioner,Francisca,0,False
Throwing Knife,Claymore,Guisarme,0,False
Throwing Knife,Schiavona,Executioner,0,False
Throwing Knife,Bastard Sword,Executioner,0,False
Throwing Knife,Nodachi,Executioner,0,False
Throwing Knife,Rune Blade,Executioner,0,False
Throwing Knife,Holy Win,Throwing Knife,0,False
Kudi,Broad Sword,Scramasax,0,False
Kudi,Norse Sword,Scramasax,0,False
Kudi,Katana,Dirk,0,False
Kudi,Executioner,Spiked Club,0,False
Kudi,Claymore,Tabarzin,0,False
Kudi,Schiavona,Large Crescent,0,False
Kudi,Bastard Sword,Claymore,0,False
Kudi,Nodachi,Claymore,0,False
Kudi,Rune Blade,Claymore,0,False
Kudi,Holy Win,Kudi,0,False
Cinquedea,Broad Sword,Dirk,0,False
Cinquedea,Norse Sword,Scramasax,0,False
Cinquedea,Katana,Dirk,0,False
Cinquedea,Executioner,Throwing Knife,0,False
Cinquedea,Claymore,Ball Mace,0,False
Cinquedea,Schiavona,Chamkaq,0,False
Cinquedea,Bastard Sword,Sabre Halberd,0,False
Cinquedea,Nodachi,Schiavona,0,False
Cinquedea,Rune Blade,Schiavona,0,False
Cinquedea,Holy Win,Cinquedea,0,False
Kris,Broad Sword,Throwing Knife,0,False
Kris,Norse Sword,Dirk,0,False
Kris,Katana,Dirk,0,False
Kris,Executioner,Throwing Knife,0,False
Kris,Claymore,Kudi,0,False
Kris,Bastard Sword,Tabar,0,False
Kris,Nodachi,Balbriggan,0,False
Kris,Rune Blade,Bastard Sword,0,False
Kris,Holy Win,Kris,0,False
Hatchet,Broad Sword,Kudi,0,False
Hatchet,Norse Sword,Throwing Knife,0,False
Hatchet,Katana,Dirk,0,False
Hatchet,Executioner,Throwing Knife,0,False
Hatchet,Claymore,Kudi,0,False
Hatchet,Schiavona,Cinquedea,0,False
Hatchet,Bastard Sword,Morning Star,0,False
Hatchet,Nodachi,Bullova,0,False
Hatchet,Rune Blade,Double Blade,0,False
Hatchet,Holy Win,Hatchet,0,False
Khukuri,Broad Sword,Cinquedea,0,False
Khukuri,Norse Sword,Kudi,0,False
Khukuri,Katana,Throwing Knife,0,False
Khukuri,Executioner,Throwing Knife,0,False
Khukuri,Claymore,Kudi,0,False
Khukuri,Schiavona,Cinquedea,0,False
Khukuri,Bastard Sword,Kris,0,False
Khukuri,Nodachi,War Hammer,0,False
Khukuri,Rune Blade,Crescent,0,False
Khukuri,Holy Win,Khukuri,0,False
Baselard,Broad Sword,Kris,0,False
Baselard,Norse Sword,Cinquedea,0,False
Baselard,Katana,Kudi,0,False
Baselard,Executioner,Throwing Knife,0,False
Baselard,Claymore,Kudi,0,False
Baselard,Schiavona,Cinquedea,0,False
Baselard,Bastard Sword,Kris,0,False
Baselard,Nodachi,Hatchet,0,False
Baselard,Rune Blade,Bec de Corbin,0,False
Baselard,Holy Win,Baselard,0,False
Stiletto,Broad Sword,Hatchet,0,False
Stiletto,Norse Sword,Kris,0,False
Stiletto,Katana,Cinquedea,0,False
Stiletto,Executioner,Kudi,0,False
Stiletto,Claymore,Kudi,0,False
Stiletto,Schiavona,Cinquedea,0,False
Stiletto,Bastard Sword,Kris,0,False
Stiletto,Nodachi,Hatchet,0,False
Stiletto,Rune Blade,Khukuri,0,False
Stiletto,Holy Win,Stiletto,0,False
Jamadhar,Broad Sword,Khukuri,0,False
Jamadhar,Norse Sword,Hatchet,0,False
Jamadhar,Katana,Kris,0,False
Jamadhar,Executioner,Cinquedea,0,False
Jamadhar,Claymore,Kudi,0,False
Jamadhar,Schiavona,Cinquedea,0,False
Jamadhar,Bastard Sword,Kris,0,False
Jamadhar,Nodachi,Hatchet,0,False
Jamadhar,Rune Blade,Khukuri,0,False
Jamadhar,Holy Win,Jamadhar,0,False
