slot1,slot2,result,tier_change,has_swap
Battle Knife,Langdebeve,Spear,0,False
Battle Knife,Sabre Mace,Sabre Mace,0,False
Battle Knife,Gloomwing,Sabre Mace,0,False
Battle Knife,Griever,Gloomwing,0,False
Battle Knife,Destroyer,Mjolnir,0,False
Battle Knife,Hand of Light,Battle Knife,0,False
Scramasax,Langdebeve,Gastraph Bow,0,False
Scramasax,Sabre Mace,Spatha,0,False
Scramasax,Gloomwing,Sabre Mace,0,False
Scramasax,Mjolnir,Sabre Mace,0,False
Scramasax,Destroyer,Gloomwing,0,False
Scramasax,Hand of Light,Scramasax,0,False
Dirk,Langdebeve,Battle Knife,0,False
Dirk,Sabre Mace,Glaive,0,False
Dirk,Destroyer,Gloomwing,0,False
Dirk,Hand of Light,Dirk,0,False
Throwing Knife,Langdebeve,Battle Knife,0,False
Throwing Knife,Sabre Mace,Light Crossbow,0,False
Throwing Knife,Hand of Light,Throwing Knife,0,False
Kudi,Langdebeve,Scramasax,0,False
Kudi,Sabre Mace,Scramasax,0,False
Kudi,Gloomwing,Gloomwing,0,False
Kudi,Mjolnir,Gloomwing,0,False
Kudi,Griever,Gloomwing,0,False
Kudi,Destroyer,Gloomwing,0,False
Kudi,Hand of Light,Kudi,0,False
Cinquedea,Langdebeve,Dirk,0,False
Cinquedea,Sabre Mace,Scramasax,0,False
Cinquedea,Gloomwing,Rapier,0,False
Cinquedea,Mjolnir,Gloomwing,0,False
Cinquedea,Griever,Gloomwing,0,False
Cinquedea,Destroyer,Gloomwing,0,False
Cinquedea,Hand of Light,Cinquedea,0,False
Kris,Langdebeve,Throwing Knife,0,False
Kris,Sabre Mace,Dirk,0,False
Kris,Gloomwing,Corcesca,0,False
Kris,Mjolnir,Mjolnir,0,False
Kris,Griever,Mjolnir,0,False
Kris,Destroyer,Mjolnir,0,False
Kris,Hand of Light,Kris,0,False
Hatchet,Langdebeve,Kudi,0,False
Hatchet,Sabre Mace,Throwing Knife,0,False
Hatchet,Gloomwing,Windlass,0,False
Hatchet,Mjolnir,Short Sword,0,False
Hatchet,Griever,Mjolnir,0,False
Hatchet,Destroyer,Mjolnir,0,False
Hatchet,Hand of Light,Hatchet,0,False
Khukuri,Langdebeve,Cinquedea,0,False
Khukuri,Sabre Mace,Kudi,0,False
Khukuri,Gloomwing,Throwing Knife,0,False
Khukuri,Mjolnir,Trident,0,False
Khukuri,Griever,Griever,0,False
Khukuri,Destroyer,Griever,0,False
Khukuri,Hand of Light,Khukuri,0,False
Baselard,Langdebeve,Kris,0,False
Baselard,Sabre Mace,Cinquedea,0,False
Baselard,Gloomwing,Throwing Knife,0,False
Baselard,Mjolnir,Cranequin,0,False
Baselard,Griever,Firangi,0,False
Baselard,Destroyer,Griever,0,False
Baselard,Hand of Light,Baselard,0,False
Stiletto,Langdebeve,Hatchet,0,False
Stiletto,Sabre Mace,Kris,0,False
Stiletto,Gloomwing,Kudi,0,False
Stiletto,Mjolnir,Kudi,0,False
Stiletto,Griever,Awl Pike,0,False
Stiletto,Destroyer,Destroyer,0,False
Stiletto,Hand of Light,Stiletto,0,False
Jamadhar,Langdebeve,Khukuri,0,False
Jamadhar,Sabre Mace,Hatchet,0,False
Jamadhar,Gloomwing,Cinquedea,0,False
Jamadhar,Mjolnir,Kudi,0,False
Jamadhar,Griever,Lug Crossbow,0,False
Jamadhar,Destroyer,Shamshir,0,False
Jamadhar,Hand of Light,Jamadhar,0,False
