slot1,slot2,result,tier_change,has_swap
Battle Knife,Goblin Club,Goblin Club,0,False
Battle Knife,Spiked Club,Goblin Club,0,False
Battle Knife,Ball Mace,Spiked Club,0,False
Battle Knife,War Hammer,Morning Star,0,False
Battle Knife,Bec de Corbin,War Hammer,0,False
Battle Knife,War Maul,Bec de Corbin,0,False
Scramasax,Goblin Club,Battle Knife,0,False
Scramasax,Spiked Club,Spiked Club,0,False
Scramasax,Ball Mace,Spiked Club,0,False
Scramasax,Morning Star,Ball Mace,0,False
Scramasax,Bec de Corbin,Morning Star,0,False
Scramasax,War Maul,War Hammer,0,False
Dirk,Goblin Club,Battle Knife,0,False
Dirk,Spiked Club,Scramasax,0,False
Dirk,Ball Mace,Ball Mace,0,False
Dirk,Morning Star,Ball Mace,0,False
Dirk,War Hammer,Ball Mace,0,False
Dirk,War Maul,Morning Star,0,False
Throwing Knife,Goblin Club,Battle Knife,0,False
Throwing Knife,Spiked Club,Scramasax,0,False
Throwing Knife,Ball Mace,Guisarme,0,False
Kudi,Goblin Club,Scramasax,0,False
Kudi,Spiked Club,Scramasax,0,False
Kudi,Ball Mace,Dirk,0,False
Kudi,War Hammer,Morning Star,0,False
Kudi,Bec de Corbin,Morning Star,0,False
Kudi,War Maul,Morning Star,0,False
Cinquedea,Goblin Club,Dirk,0,False
Cinquedea,Spiked Club,Scramasax,0,False
Cinquedea,Ball Mace,Dirk,0,False
Cinquedea,Morning Star,Sabre Halberd,0,False
Cinquedea,War Hammer,Gloomwing,0,False
Cinquedea,Bec de Corbin,War Hammer,0,False
Cinquedea,War Maul,War Hammer,0,False
Kris,Goblin Club,Throwing Knife,0,False
Kris,Spiked Club,Dirk,0,False
Kris,Ball Mace,Dirk,0,False
Kris,Morning Star,Clergy Rod,0,False
Kris,War Hammer,Balbriggan,0,False
Kris,Bec de Corbin,Mjolnir,0,False
Kris,War Maul,Bec de Corbin,0,False
Hatchet,Goblin Club,Kudi,0,False
Hatchet,Spiked Club,Throwing Knife,0,False
Hatchet,Ball Mace,Dirk,0,False
Hatchet,Morning Star,Kudi,0,False
Hatchet,War Hammer,Summoner Baton,0,False
Hatchet,Bec de Corbin,Double Blade,0,False
Hatchet,War Maul,Griever,0,False
Khukuri,Goblin Club,Cinquedea,0,False
Khukuri,Spiked Club,Kudi,0,False
Khukuri,Ball Mace,Throwing Knife,0,False
Khukuri,Morning Star,Kudi,0,False
Khukuri,War Hammer,Cinquedea,0,False
Khukuri,Bec de Corbin,Shamanic Staff,0,False
Khukuri,War Maul,Halberd,0,False
Baselard,Goblin Club,Kris,0,False
Baselard,Spiked Club,Cinquedea,0,False
Baselard,Ball Mace,Kudi,0,False
Baselard,Morning Star,Kudi,0,False
Baselard,War Hammer,Cinquedea,0,False
Baselard,Bec de Corbin,Kris,0,False
Stiletto,Goblin Club,Hatchet,0,False
Stiletto,Spiked Club,Kris,0,False
Stiletto,Ball Mace,Cinquedea,0,False
Stiletto,Morning Star,Kudi,0,False
Stiletto,War Hammer,Cinquedea,0,False
Stiletto,Bec de Corbin,Kris,0,False
Stiletto,War Maul,Hatchet,0,False
Jamadhar,Goblin Club,Khukuri,0,False
Jamadhar,Spiked Club,Hatchet,0,False
Jamadhar,Ball Mace,Kris,0,False
Jamadhar,Morning Star,Kudi,0,False
Jamadhar,War Hammer,Cinquedea,0,False
Jamadhar,Bec de Corbin,Kris,0,False
Jamadhar,War Maul,Hatchet,0,False
