slot1,slot2,result,tier_change,has_swap
Battle Knife,Spatha,Spatha,0,False
Battle Knife,Scimitar,Spatha,0,False
Battle Knife,Rapier,Spatha,0,False
Battle Knife,Short Sword,Spatha,0,False
Battle Knife,Firangi,Spatha,0,False
Battle Knife,Shamshir,Scimitar,0,False
Battle Knife,Falchion,Rapier,0,False
Battle Knife,Shotel,Short Sword,0,False
Battle Knife,Khora,Firangi,0,False
Battle Knife,Khopesh,Shamshir,0,False
Battle Knife,Wakizashi,Falchion,0,False
Battle Knife,Rhomphaia,Battle Knife,0,False
Scramasax,Spatha,Battle Knife,0,False
Scramasax,Scimitar,Scimitar,0,False
Scramasax,Rapier,Scimitar,0,False
Scramasax,Short Sword,Scimitar,0,False
Scramasax,Firangi,Scimitar,0,False
Scramasax,Shamshir,Scimitar,0,False
Scramasax,Falchion,Scimitar,0,False
Scramasax,Shotel,Rapier,0,False
Scramasax,Khora,Short Sword,0,False
Scramasax,Khopesh,Firangi,0,False
Scramasax,Wakizashi,Shamshir,0,False
Scramasax,Rhomphaia,Scramasax,0,False
Dirk,Spatha,Battle Knife,0,False
Dirk,Scimitar,Scramasax,0,False
Dirk,Rapier,Broad Sword,0,False
Dirk,Short Sword,Rapier,0,False
Dirk,Firangi,Rapier,0,False
Dirk,Shamshir,Rapier,0,False
Dirk,Falchion,Rapier,0,False
Dirk,Shotel,Rapier,0,False
Dirk,Khora,Rapier,0,False
Dirk,Khopesh,Short Sword,0,False
Dirk,Wakizashi,Firangi,0,False
Dirk,Rhomphaia,Dirk,0,False
Throwing Knife,Spatha,Battle Knife,0,False
Throwing Knife,Scimitar,Scramasax,0,False
Throwing Knife,Rapier,Dirk,0,False
Throwing Knife,Short Sword,Norse Sword,0,False
Throwing Knife,Firangi,Goblin Club,0,False
Throwing Knife,Shamshir,Short Sword,0,False
Throwing Knife,Falchion,Short Sword,0,False
Throwing Knife,Shotel,Short Sword,0,False
Throwing Knife,Khora,Short Sword,0,False
Throwing Knife,Khopesh,Short Sword,0,False
Throwing Knife,Wakizashi,Short Sword,0,False
Throwing Knife,Rhomphaia,Throwing Knife,0,False
Kudi,Spatha,Scramasax,0,False
Kudi,Scimitar,Scramasax,0,False
Kudi,Rapier,Dirk,0,False
Kudi,Short Sword,Throwing Knife,0,False
Kudi,Firangi,Katana,0,False
Kudi,Shamshir,Spiked Club,0,False
Kudi,Falchion,Firangi,0,False
Kudi,Shotel,Firangi,0,False
Kudi,Khora,Firangi,0,False
Kudi,Khopesh,Firangi,0,False
Kudi,Wakizashi,Firangi,0,False
Kudi,Rhomphaia,Kudi,0,False
Cinquedea,Spatha,Dirk,0,False
Cinquedea,Scimitar,Scramasax,0,False
Cinquedea,Rapier,Dirk,0,False
Cinquedea,Short Sword,Throwing Knife,0,False
Cinquedea,Firangi,Hand Axe,0,False
Cinquedea,Shamshir,Executioner,0,False
Cinquedea,Falchion,Ball Mace,0,False
Cinquedea,Shotel,Shamshir,0,False
Cinquedea,Khora,Shamshir,0,False
Cinquedea,Khopesh,Shamshir,0,False
Cinquedea,Wakizashi,Shamshir,0,False
Cinquedea,Rhomphaia,Cinquedea,0,False
