slot1,slot2,result,tier_change,has_swap
Guisarme,Gastraph Bow,Spatha,0,False
Guisarme,Light Crossbow,Battle Knife,0,False
Guisarme,Target Bow,Broad Sword,0,False
Guisarme,Windlass,Light Crossbow,0,False
Guisarme,Cranequin,Light Crossbow,0,False
Guisarme,Lug Crossbow,Target Bow,0,False
Guisarme,Siege Bow,Windlass,0,False
Guisarme,Arbalest,Cranequin,0,False
Large Crescent,Gastraph Bow,Guisarme,0,False
Large Crescent,Light Crossbow,Scimitar,0,False
Large Crescent,Target Bow,Scramasax,0,False
Large Crescent,Windlass,Norse Sword,0,False
Large Crescent,Cranequin,Target Bow,0,False
Large Crescent,Lug Crossbow,Target Bow,0,False
Large Crescent,Siege Bow,Target Bow,0,False
Large Crescent,Arbalest,Windlass,0,False
Sabre Halberd,Gastraph Bow,Guisarme,0,False
Sabre Halberd,Light Crossbow,Large Crescent,0,False
Sabre Halberd,Target Bow,Rapier,0,False
Sabre Halberd,Windlass,Dirk,0,False
Sabre Halberd,Cranequin,Katana,0,False
Sabre Halberd,Lug Crossbow,Windlass,0,False
Sabre Halberd,Siege Bow,Windlass,0,False
Sabre Halberd,Arbalest,Windlass,0,False
Balbriggan,Gastraph Bow,Large Crescent,0,False
Balbriggan,Light Crossbow,Large Crescent,0,False
Balbriggan,Target Bow,Sabre Halberd,0,False
Balbriggan,Windlass,Short Sword,0,False
Balbriggan,Cranequin,Throwing Knife,0,False
Balbriggan,Lug Crossbow,Executioner,0,False
Balbriggan,Siege Bow,Cranequin,0,False
Balbriggan,Arbalest,Cranequin,0,False
Double Blade,Gastraph Bow,Sabre Halberd,0,False
Double Blade,Light Crossbow,Large Crescent,0,False
Double Blade,Target Bow,Sabre Halberd,0,False
Double Blade,Windlass,Balbriggan,0,False
Double Blade,Cranequin,Firangi,0,False
Double Blade,Lug Crossbow,Kudi,0,False
Double Blade,Siege Bow,Claymore,0,False
Double Blade,Arbalest,Lug Crossbow,0,False
Halberd,Gastraph Bow,Balbriggan,0,False
Halberd,Light Crossbow,Sabre Halberd,0,False
Halberd,Target Bow,Sabre Halberd,0,False
Halberd,Windlass,Balbriggan,0,False
Halberd,Cranequin,Double Blade,0,False
Halberd,Lug Crossbow,Shamshir,0,False
Halberd,Siege Bow,Cinquedea,0,False
Halberd,Arbalest,Schiavona,0,False
