slot1,slot2,result,tier_change,has_swap
Guisarme,Guisarme,Guisarme,0,False
Guisarme,Large Crescent,Guisarme,0,False
Guisarme,Sabre Halberd,Sabre Halberd,0,False
Guisarme,Balbriggan,Large Crescent,0,False
Guisarme,Double Blade,Sabre Halberd,0,False
Guisarme,Halberd,Balbriggan,0,False
Large Crescent,Large Crescent,Large Crescent,0,False
Large Crescent,Sabre Halberd,Balbriggan,1,False
Large Crescent,Balbriggan,Sabre Halberd,0,False
Large Crescent,Double Blade,Large Crescent,0,False
Large Crescent,Halberd,Sabre Halberd,0,False
Sabre Halberd,Sabre Halberd,Sabre Halberd,0,False
Sabre Halberd,Balbriggan,Double Blade,1,False
Sabre Halberd,Double Blade,Balbriggan,0,False
Sabre Halberd,Halberd,Sabre Halberd,0,True
Halberd,Sabre Halberd,Large Crescent,-1,True
Balbriggan,Balbriggan,Balbriggan,0,False
Balbriggan,Double Blade,Guisarme,-1,False
Balbriggan,Halberd,Double Blade,0,False
Double Blade,Double Blade,Halberd,1,False
Double Blade,Halberd,Guisarme,-1,False
Halberd,Halberd,Halberd,0,False
