slot1,slot2,result,tier_change,has_swap
Guisarme,Spear,Spear,0,False
Guisarme,Glaive,Spear,0,False
Guisarme,Scorpion,Spear,0,False
Guisarme,Corcesca,Spear,0,False
Guisarme,Trident,Glaive,0,False
Guisarme,Awl Pike,Scorpion,0,False
Guisarme,Boar Spear,Corcesca,0,False
Guisarme,Fauchard,Trident,0,False
Guisarme,Voulge,Awl Pike,0,False
Guisarme,Pole Axe,Boar Spear,0,False
Guisarme,Bardysh,Fauchard,0,False
Guisarme,Brandestoc,Voulge,0,False
Large Crescent,Spear,Battle Knife,0,False
Large Crescent,Glaive,Gastraph Bow,0,False
Large Crescent,Scorpion,Spatha,0,False
Large Crescent,Corcesca,Glaive,0,False
Large Crescent,Trident,Glaive,0,False
Large Crescent,Awl Pike,Glaive,0,False
Large Crescent,Boar Spear,Scorpion,0,False
Large Crescent,Fauchard,Corcesca,0,False
Large Crescent,Voulge,Trident,0,False
Large Crescent,Pole Axe,Awl Pike,0,False
Large Crescent,Bardysh,Boar Spear,0,False
Large Crescent,Brandestoc,Fauchard,0,False
Sabre Halberd,Spear,Guisarme,0,False
Sabre Halberd,Glaive,Guisarme,0,False
Sabre Halberd,Scorpion,Scramasax,0,False
Sabre Halberd,Corcesca,Light Crossbow,0,False
Sabre Halberd,Trident,Scimitar,0,False
Sabre Halberd,Awl Pike,Scorpion,0,False
Sabre Halberd,Boar Spear,Scorpion,0,False
Sabre Halberd,Fauchard,Scorpion,0,False
Sabre Halberd,Voulge,Corcesca,0,False
Sabre Halberd,Pole Axe,Trident,0,False
Sabre Halberd,Bardysh,Awl Pike,0,False
Sabre Halberd,Brandestoc,Boar Spear,0,False
Balbriggan,Spear,Large Crescent,0,False
Balbriggan,Glaive,Guisarme,0,False
Balbriggan,Scorpion,Large Crescent,0,False
Balbriggan,Corcesca,Large Crescent,0,False
Balbriggan,Trident,Spatha,0,True
Trident,Balbriggan,Dirk,0,True
Balbriggan,Awl Pike,Target Bow,0,False
Balbriggan,Boar Spear,Rapier,0,False
Balbriggan,Fauchard,Corcesca,0,False
Balbriggan,Voulge,Corcesca,0,False
Balbriggan,Pole Axe,Trident,0,False
Balbriggan,Bardysh,Trident,0,False
Balbriggan,Brandestoc,Awl Pike,0,False
Double Blade,Spear,Sabre Halberd,0,False
Double Blade,Glaive,Large Crescent,0,False
Double Blade,Scorpion,Large Crescent,0,False
Double Blade,Corcesca,Large Crescent,0,False
Double Blade,Trident,Sabre Halberd,0,False
Double Blade,Awl Pike,Sabre Halberd,0,False
Double Blade,Boar Spear,Throwing Knife,0,False
Double Blade,Fauchard,Windlass,0,False
Double Blade,Voulge,Short Sword,0,False
Double Blade,Pole Axe,Trident,0,False
Double Blade,Bardysh,Trident,0,False
Double Blade,Brandestoc,Trident,0,False
Halberd,Spear,Balbriggan,0,False
Halberd,Glaive,Sabre Halberd,0,False
Halberd,Scorpion,Large Crescent,0,True
Scorpion,Halberd,Sabre Halberd,0,True
Halberd,Corcesca,Large Crescent,0,False
Halberd,Trident,Sabre Halberd,0,False
Halberd,Awl Pike,Sabre Halberd,0,False
Halberd,Boar Spear,Balbriggan,0,False
Halberd,Fauchard,Balbriggan,0,False
Halberd,Voulge,Kudi,0,False
Halberd,Pole Axe,Cranequin,0,False
Halberd,Bardysh,Firangi,0,False
Halberd,Brandestoc,Awl Pike,0,False
