slot1,slot2,result,tier_change,has_swap
Broad Sword,Hand Axe,Hand Axe,0,False
Broad Sword,Battle Axe,Hand Axe,0,False
Broad Sword,Francisca,Battle Axe,0,False
Broad Sword,Tabarzin,Francisca,0,False
Broad Sword,Chamkaq,Tabarzin,0,False
Broad Sword,Tabar,Chamkaq,0,False
Broad Sword,Bullova,Tabar,0,False
Broad Sword,Crescent,Bullova,0,False
Norse Sword,Hand Axe,Goblin Club,0,False
Norse Sword,Battle Axe,Battle Axe,0,False
Norse Sword,Francisca,Battle Axe,0,False
Norse Sword,Tabarzin,Battle Axe,0,False
Norse Sword,Chamkaq,Francisca,0,False
Norse Sword,Tabar,Tabarzin,0,False
Norse Sword,Bullova,Chamkaq,0,False
Norse Sword,Crescent,Tabar,0,False
Katana,Hand Axe,Broad Sword,0,False
Katana,Battle Axe,Spiked Club,0,False
Katana,Francisca,Francisca,0,False
Katana,Tabarzin,Francisca,0,False
Katana,Chamkaq,Francisca,0,False
Katana,Tabar,Francisca,0,False
Katana,Bullova,Tabarzin,0,False
Katana,Crescent,Chamkaq,0,False
Executioner,Hand Axe,Broad Sword,0,False
Executioner,Battle Axe,Norse Sword,0,False
Executioner,Francisca,Ball Mace,0,False
Executioner,Tabarzin,Wizard Staff,0,False
Executioner,Chamkaq,Tabarzin,0,False
Executioner,Tabar,Tabarzin,0,False
Executioner,Bullova,Tabarzin,0,False
Executioner,Crescent,Tabarzin,0,False
Claymore,Hand Axe,Norse Sword,0,False
Claymore,Battle Axe,Norse Sword,0,False
Claymore,Francisca,Guisarme,0,False
Claymore,Chamkaq,Clergy Rod,0,False
Claymore,Tabar,Chamkaq,0,False
Claymore,Bullova,Chamkaq,0,False
Claymore,Crescent,Chamkaq,0,False
Schiavona,Hand Axe,Katana,0,False
Schiavona,Battle Axe,Norse Sword,0,False
Schiavona,Francisca,Katana,0,False
Schiavona,Tabarzin,Large Crescent,0,False
Schiavona,Chamkaq,Morning Star,0,False
Schiavona,Tabar,Summoner Baton,0,False
Schiavona,Bullova,Tabar,0,False
Schiavona,Crescent,Tabar,0,False
Bastard Sword,Hand Axe,Executioner,0,False
Bastard Sword,Battle Axe,Katana,0,False
Bastard Sword,Francisca,Katana,0,False
Bastard Sword,Tabarzin,Executioner,0,False
Bastard Sword,Chamkaq,Sabre Halberd,0,False
Bastard Sword,Tabar,War Hammer,0,False
Bastard Sword,Bullova,Shamanic Staff,0,False
Bastard Sword,Crescent,Bullova,0,False
Nodachi,Hand Axe,Claymore,0,False
Nodachi,Battle Axe,Executioner,0,False
Nodachi,Francisca,Katana,0,False
Nodachi,Tabarzin,Executioner,0,False
Nodachi,Chamkaq,Claymore,0,False
Nodachi,Tabar,Balbriggan,0,False
Nodachi,Bullova,Bec de Corbin,0,False
Rune Blade,Hand Axe,Schiavona,0,False
Rune Blade,Battle Axe,Claymore,0,False
Rune Blade,Francisca,Executioner,0,False
Rune Blade,Tabarzin,Executioner,0,False
Rune Blade,Chamkaq,Claymore,0,False
Rune Blade,Tabar,Schiavona,0,False
Rune Blade,Bullova,Double Blade,0,False
Rune Blade,Crescent,War Maul,0,False
Holy Win,Hand Axe,Hand Axe,0,False
Holy Win,Battle Axe,Battle Axe,0,False
Holy Win,Francisca,Francisca,0,False
Holy Win,Tabarzin,Tabarzin,0,False
Holy Win,Chamkaq,Chamkaq,0,False
Holy Win,Tabar,Tabar,0,False
Holy Win,Bullova,Bullova,0,False
Holy Win,Crescent,Crescent,0,False
