slot1,slot2,result,tier_change,has_swap
Broad Sword,Guisarme,Wizard Staff,0,False
Broad Sword,Large Crescent,Guisarme,0,False
Broad Sword,Sabre Halberd,Large Crescent,0,False
Broad Sword,Balbriggan,Sabre Halberd,0,False
Broad Sword,Double Blade,Balbriggan,0,False
Broad Sword,Halberd,Double Blade,0,False
Norse Sword,Guisarme,Langdebeve,0,False
Norse Sword,Large Crescent,Glaive,0,False
Norse Sword,Sabre Halberd,Large Crescent,0,False
Norse Sword,Balbriggan,Sabre Halberd,0,False
Norse Sword,Double Blade,Balbriggan,0,False
Norse Sword,Halberd,Double Blade,0,False
Katana,Guisarme,Broad Sword,0,False
Katana,Large Crescent,Clergy Rod,0,False
Katana,Sabre Halberd,Large Crescent,0,False
Katana,Balbriggan,Large Crescent,0,False
Katana,Double Blade,Sabre Halberd,0,False
Katana,Halberd,Balbriggan,0,False
Executioner,Guisarme,Broad Sword,0,False
Executioner,Large Crescent,Sabre Mace,0,False
Executioner,Sabre Halberd,Scorpion,0,False
Executioner,Balbriggan,Sabre Halberd,0,False
Executioner,Double Blade,Sabre Halberd,0,False
Executioner,Halberd,Balbriggan,0,False
Claymore,Guisarme,Norse Sword,0,False
Claymore,Large Crescent,Norse Sword,0,False
Claymore,Sabre Halberd,Summoner Baton,0,False
Claymore,Balbriggan,Sabre Halberd,0,False
Claymore,Double Blade,Sabre Halberd,0,False
Claymore,Halberd,Sabre Halberd,0,False
Schiavona,Guisarme,Katana,0,False
Schiavona,Large Crescent,Norse Sword,0,False
Schiavona,Balbriggan,Corcesca,0,False
Schiavona,Double Blade,Balbriggan,0,False
Schiavona,Halberd,Balbriggan,0,False
Bastard Sword,Guisarme,Executioner,0,False
Bastard Sword,Large Crescent,Katana,0,False
Bastard Sword,Sabre Halberd,Katana,0,False
Bastard Sword,Balbriggan,Shamanic Staff,0,False
Bastard Sword,Double Blade,Balbriggan,0,False
Bastard Sword,Halberd,Balbriggan,0,False
Nodachi,Guisarme,Claymore,0,False
Nodachi,Large Crescent,Executioner,0,False
Nodachi,Sabre Halberd,Katana,0,False
Nodachi,Balbriggan,Gloomwing,0,False
Nodachi,Double Blade,Trident,0,False
Nodachi,Halberd,Double Blade,0,False
Rune Blade,Guisarme,Schiavona,0,False
Rune Blade,Large Crescent,Claymore,0,False
Rune Blade,Sabre Halberd,Executioner,0,False
Rune Blade,Balbriggan,Executioner,0,False
Rune Blade,Halberd,Double Blade,0,False
Holy Win,Guisarme,Guisarme,0,False
Holy Win,Large Crescent,Large Crescent,0,False
Holy Win,Sabre Halberd,Sabre Halberd,0,False
Holy Win,Balbriggan,Balbriggan,0,False
Holy Win,Double Blade,Double Blade,0,False
Holy Win,Halberd,Halberd,0,False
