slot1,slot2,result,tier_change,has_swap
Broad Sword,Goblin Club,Goblin Club,0,False
Broad Sword,Spiked Club,Goblin Club,0,False
Broad Sword,Ball Mace,Spiked Club,0,False
Broad Sword,War Hammer,Morning Star,0,False
Broad Sword,Bec de Corbin,War Hammer,0,False
Broad Sword,War Maul,Bec de Corbin,0,False
Norse Sword,Goblin Club,Broad Sword,0,False
Norse Sword,Spiked Club,Spiked Club,0,False
Norse Sword,Ball Mace,Spiked Club,0,False
Norse Sword,Morning Star,Ball Mace,0,False
Norse Sword,Bec de Corbin,Morning Star,0,False
Norse Sword,War Maul,War Hammer,0,False
Katana,Goblin Club,Broad Sword,0,False
Katana,Spiked Club,Norse Sword,0,False
Katana,Ball Mace,Langdebeve,0,False
Katana,Morning Star,Ball Mace,0,False
Katana,War Hammer,Ball Mace,0,False
Katana,War Maul,Morning Star,0,False
Executioner,Goblin Club,Broad Sword,0,False
Executioner,Spiked Club,Norse Sword,0,False
Executioner,Ball Mace,Guisarme,0,False
Claymore,Goblin Club,Norse Sword,0,False
Claymore,Spiked Club,Norse Sword,0,False
Claymore,Ball Mace,Wizard Staff,0,False
Claymore,War Hammer,Morning Star,0,False
Claymore,Bec de Corbin,Morning Star,0,False
Claymore,War Maul,Morning Star,0,False
Schiavona,Goblin Club,Katana,0,False
Schiavona,Spiked Club,Norse Sword,0,False
Schiavona,Ball Mace,Katana,0,False
Schiavona,Morning Star,Sabre Halberd,0,False
Schiavona,War Hammer,Gloomwing,0,False
Schiavona,Bec de Corbin,War Hammer,0,False
Schiavona,War Maul,War Hammer,0,False
Bastard Sword,Goblin Club,Executioner,0,False
Bastard Sword,Spiked Club,Katana,0,False
Bastard Sword,Ball Mace,Katana,0,False
Bastard Sword,Morning Star,Summoner Baton,0,False
Bastard Sword,War Hammer,Balbriggan,0,False
Bastard Sword,Bec de Corbin,Mjolnir,0,False
Bastard Sword,War Maul,Bec de Corbin,0,False
Nodachi,Goblin Club,Claymore,0,False
Nodachi,Spiked Club,Executioner,0,False
Nodachi,Ball Mace,Katana,0,False
Nodachi,Morning Star,Claymore,0,False
Nodachi,War Hammer,Shamanic Staff,0,False
Nodachi,Bec de Corbin,Double Blade,0,False
Nodachi,War Maul,Griever,0,False
Rune Blade,Goblin Club,Schiavona,0,False
Rune Blade,Spiked Club,Claymore,0,False
Rune Blade,Ball Mace,Executioner,0,False
Rune Blade,Morning Star,Claymore,0,False
Rune Blade,War Hammer,Schiavona,0,False
Rune Blade,War Maul,Halberd,0,False
Holy Win,Goblin Club,Goblin Club,0,False
Holy Win,Spiked Club,Spiked Club,0,False
Holy Win,Ball Mace,Ball Mace,0,False
Holy Win,Morning Star,Morning Star,0,False
Holy Win,War Hammer,War Hammer,0,False
Holy Win,Bec de Corbin,Bec de Corbin,0,False
Holy Win,War Maul,War Maul,0,False
