slot1,slot2,result,tier_change,has_swap
Broad Sword,Wizard Staff,Langdebeve,0,False
Broad Sword,Clergy Rod,Wizard Staff,0,False
Broad Sword,Summoner Baton,Clergy Rod,0,False
Broad Sword,Shamanic Staff,Summoner Baton,0,False
Norse Sword,Wizard Staff,Glaive,0,False
Norse Sword,Clergy Rod,Gastraph Bow,0,False
Norse Sword,Summoner Baton,Clergy Rod,0,False
Norse Sword,Shamanic Staff,Claymore,0,True
Shamanic Staff,Norse Sword,Summoner Baton,0,True
Katana,Wizard Staff,Broad Sword,0,False
Katana,Clergy Rod,Sabre Mace,0,False
Katana,Summoner Baton,Clergy Rod,0,False
Katana,Shamanic Staff,Clergy Rod,0,False
Executioner,Wizard Staff,Broad Sword,0,False
Executioner,Clergy Rod,Scorpion,0,False
Executioner,Summoner Baton,Light Crossbow,0,False
Executioner,Shamanic Staff,Summoner Baton,0,False
Claymore,Wizard Staff,Norse Sword,0,False
Claymore,Clergy Rod,Norse Sword,0,False
Claymore,Shamanic Staff,Summoner Baton,0,False
Schiavona,Wizard Staff,Katana,0,False
Schiavona,Clergy Rod,Norse Sword,0,False
Schiavona,Summoner Baton,Corcesca,0,False
Schiavona,Shamanic Staff,Target Bow,0,False
Bastard Sword,Wizard Staff,Executioner,0,False
Bastard Sword,Clergy Rod,Katana,0,False
Bastard Sword,Summoner Baton,Katana,0,False
Bastard Sword,Shamanic Staff,Gloomwing,0,False
Nodachi,Wizard Staff,Claymore,0,False
Nodachi,Clergy Rod,Executioner,0,False
Nodachi,Summoner Baton,Katana,0,False
Nodachi,Shamanic Staff,Trident,0,False
Rune Blade,Wizard Staff,Schiavona,0,False
Rune Blade,Clergy Rod,Claymore,0,False
Rune Blade,Summoner Baton,Executioner,0,False
Rune Blade,Shamanic Staff,Executioner,0,False
Holy Win,Wizard Staff,Wizard Staff,0,False
Holy Win,Clergy Rod,Clergy Rod,0,False
Holy Win,Summoner Baton,Summoner Baton,0,False
Holy Win,Shamanic Staff,Shamanic Staff,0,False
