slot1,slot2,result,tier_change,has_swap
Langdebeve,Gastraph Bow,Battle Knife,0,False
Langdebeve,Light Crossbow,Broad Sword,0,False
Langdebeve,Target Bow,Gastraph Bow,0,False
Langdebeve,Windlass,Gastraph Bow,0,False
Langdebeve,Cranequin,Light Crossbow,0,False
Langdebeve,Lug Crossbow,Target Bow,0,False
Langdebeve,Siege Bow,Windlass,0,False
Langdebeve,Arbalest,Cranequin,0,False
Sabre Mace,Gastraph Bow,Spatha,0,False
Sabre Mace,Light Crossbow,Scramasax,0,False
Sabre Mace,Target Bow,Norse Sword,0,False
Sabre Mace,Windlass,Light Crossbow,0,False
Sabre Mace,Cranequin,Light Crossbow,0,False
Sabre Mace,Lug Crossbow,Target Bow,0,False
Sabre Mace,Siege Bow,Target Bow,0,False
Sabre Mace,Arbalest,Windlass,0,False
Gloomwing,Gastraph Bow,Langdebeve,0,False
Gloomwing,Light Crossbow,Sabre Mace,0,False
Gloomwing,Target Bow,Rapier,0,False
Gloomwing,Windlass,Throwing Knife,0,False
Gloomwing,Cranequin,Executioner,0,False
Gloomwing,Lug Crossbow,Windlass,0,False
Gloomwing,Siege Bow,Windlass,0,False
Gloomwing,Arbalest,Windlass,0,False
Mjolnir,Gastraph Bow,Sabre Mace,0,False
Mjolnir,Light Crossbow,Sabre Mace,0,False
Mjolnir,Windlass,Short Sword,0,False
Mjolnir,Cranequin,Kudi,0,False
Mjolnir,Lug Crossbow,Claymore,0,False
Mjolnir,Siege Bow,Cranequin,0,False
Mjolnir,Arbalest,Cranequin,0,False
Griever,Light Crossbow,Sabre Mace,0,False
Griever,Windlass,Gloomwing,0,False
Griever,Cranequin,Firangi,0,False
Griever,Lug Crossbow,Cinquedea,0,False
Griever,Siege Bow,Schiavona,0,False
Griever,Arbalest,Lug Crossbow,0,False
Destroyer,Gastraph Bow,Gloomwing,0,False
Destroyer,Windlass,Gloomwing,0,False
Destroyer,Cranequin,Mjolnir,0,False
Destroyer,Lug Crossbow,Shamshir,0,False
Destroyer,Siege Bow,Kris,0,False
Destroyer,Arbalest,Bastard Sword,0,False
Hand of Light,Gastraph Bow,Sabre Halberd,0,True
Gastraph Bow,Hand of Light,Gastraph Bow,0,True
Hand of Light,Light Crossbow,Guisarme,0,True
Light Crossbow,Hand of Light,Light Crossbow,0,True
Hand of Light,Target Bow,Bec de Corbin,0,True
Target Bow,Hand of Light,Target Bow,0,True
Hand of Light,Windlass,Morning Star,0,True
Windlass,Hand of Light,Windlass,0,True
Hand of Light,Cranequin,Ball Mace,0,True
Cranequin,Hand of Light,Cranequin,0,True
Hand of Light,Lug Crossbow,Goblin Club,0,True
Lug Crossbow,Hand of Light,Lug Crossbow,0,True
Hand of Light,Siege Bow,Bullova,0,True
Siege Bow,Hand of Light,Siege Bow,0,True
Hand of Light,Arbalest,Chamkaq,0,True
Arbalest,Hand of Light,Arbalest,0,True
