slot1,slot2,result,tier_change,has_swap
Spear,Spear,Spear,0,False
Spear,Glaive,Spear,0,False
Spear,Scorpion,Scorpion,0,False
Spear,Corcesca,Spear,0,False
Spear,Trident,Glaive,0,False
Spear,Awl Pike,Scorpion,0,False
Spear,Boar Spear,Corcesca,0,False
Spear,Fauchard,Trident,0,False
Spear,Voulge,Awl Pike,0,False
Spear,Pole Axe,Boar Spear,0,False
Spear,Bardysh,Fauchard,0,False
Spear,Brandestoc,Voulge,0,False
Glaive,Glaive,Glaive,0,False
Glaive,Scorpion,Corcesca,1,False
Glaive,Corcesca,Spear,-1,False
Glaive,Trident,Scorpion,0,False
Glaive,Awl Pike,Glaive,0,False
Glaive,Boar Spear,Scorpion,0,False
Glaive,Fauchard,Corcesca,0,False
Glaive,Voulge,Trident,0,False
Glaive,Pole Axe,Awl Pike,0,False
Glaive,Bardysh,Boar Spear,0,False
Glaive,Brandestoc,Fauchard,0,False
Scorpion,Scorpion,Scorpion,0,False
Scorpion,Corcesca,Trident,1,False
Scorpion,Trident,Corcesca,0,False
Scorpion,Awl Pike,Boar Spear,1,False
Scorpion,Boar Spear,Glaive,-1,False
Scorpion,Fauchard,Scorpion,0,False
Scorpion,Voulge,Corcesca,0,False
Scorpion,Pole Axe,Trident,0,False
Scorpion,Bardysh,Awl Pike,0,False
Scorpion,Brandestoc,Boar Spear,0,False
Corcesca,Corcesca,Corcesca,0,False
Corcesca,Trident,Awl Pike,1,False
Corcesca,Awl Pike,Corcesca,0,False
Corcesca,Boar Spear,Trident,0,False
Corcesca,Fauchard,Glaive,-1,False
Corcesca,Voulge,Scorpion,-1,False
Corcesca,Pole Axe,Corcesca,0,False
Corcesca,Bardysh,Trident,0,False
Corcesca,Brandestoc,Awl Pike,0,False
Trident,Trident,Trident,0,False
Trident,Awl Pike,Boar Spear,1,False
Trident,Boar Spear,Fauchard,1,False
Trident,Fauchard,Awl Pike,0,False
Trident,Voulge,Glaive,-1,False
Trident,Pole Axe,Scorpion,-1,False
Trident,Bardysh,Corcesca,-1,False
Trident,Brandestoc,Trident,0,False
Awl Pike,Awl Pike,Awl Pike,0,False
Awl Pike,Boar Spear,Trident,-1,False
Awl Pike,Fauchard,Fauchard,0,False
Awl Pike,Voulge,Boar Spear,0,False
Awl Pike,Pole Axe,Glaive,-1,False
Awl Pike,Bardysh,Scorpion,-1,False
Awl Pike,Brandestoc,Corcesca,-1,False
Boar Spear,Boar Spear,Boar Spear,0,False
Boar Spear,Fauchard,Voulge,1,False
Boar Spear,Voulge,Awl Pike,-1,False
Boar Spear,Pole Axe,Voulge,0,False
Boar Spear,Bardysh,Glaive,-1,False
Boar Spear,Brandestoc,Scorpion,-1,False
Fauchard,Fauchard,Fauchard,0,False
Fauchard,Voulge,Pole Axe,1,False
Fauchard,Pole Axe,Spear,-1,False
Fauchard,Bardysh,Voulge,0,False
Fauchard,Brandestoc,Glaive,-1,False
Voulge,Voulge,Voulge,0,False
Voulge,Pole Axe,Voulge,0,False
Voulge,Bardysh,Fauchard,-1,False
Voulge,Brandestoc,Pole Axe,0,False
Pole Axe,Pole Axe,Bardysh,1,False
Pole Axe,Bardysh,Spear,-1,False
Pole Axe,Brandestoc,Boar Spear,-1,False
Bardysh,Bardysh,Brandestoc,1,False
Bardysh,Brandestoc,Fauchard,-1,False
Brandestoc,Brandestoc,Brandestoc,0,False
