slot1,slot2,result,tier_change,has_swap
Spatha,Hand Axe,Hand Axe,0,False
Spatha,Battle Axe,Hand Axe,0,False
Spatha,Francisca,Battle Axe,0,False
Spatha,Tabarzin,Francisca,0,False
Spatha,Chamkaq,Tabarzin,0,False
Spatha,Tabar,Chamkaq,0,False
Spatha,Bullova,Tabar,0,False
Spatha,Crescent,Bullova,0,False
Scimitar,Hand Axe,Goblin Club,0,False
Scimitar,Battle Axe,Battle Axe,0,False
Scimitar,Francisca,Battle Axe,0,False
Scimitar,Tabarzin,Battle Axe,0,False
Scimitar,Chamkaq,Francisca,0,False
Scimitar,Tabar,Tabarzin,0,False
Scimitar,Bullova,Chamkaq,0,False
Scimitar,Crescent,Tabar,0,False
Rapier,Hand Axe,Spatha,0,False
Rapier,Battle Axe,Spiked Club,0,False
Rapier,Francisca,Francisca,0,False
Rapier,Tabarzin,Francisca,0,False
Rapier,Chamkaq,Francisca,0,False
Rapier,Tabar,Francisca,0,False
Rapier,Bullova,Tabarzin,0,False
Rapier,Crescent,Chamkaq,0,False
Short Sword,Hand Axe,Spatha,0,False
Short Sword,Battle Axe,Scimitar,0,False
Short Sword,Francisca,Ball Mace,0,False
Short Sword,Tabarzin,Wizard Staff,0,False
Short Sword,Chamkaq,Tabarzin,0,False
Short Sword,Tabar,Tabarzin,0,False
Short Sword,Bullova,Tabarzin,0,False
Short Sword,Crescent,Tabarzin,0,False
Firangi,Hand Axe,Scimitar,0,False
Firangi,Battle Axe,Scimitar,0,False
Firangi,Francisca,Rapier,0,False
Firangi,Chamkaq,Clergy Rod,0,False
Firangi,Tabar,Chamkaq,0,False
Firangi,Bullova,Chamkaq,0,False
Firangi,Crescent,Chamkaq,0,False
Shamshir,Hand Axe,Rapier,0,False
Shamshir,Battle Axe,Scimitar,0,False
Shamshir,Francisca,Rapier,0,False
Shamshir,Tabarzin,Guisarme,0,False
Shamshir,Chamkaq,Morning Star,0,False
Shamshir,Tabar,Summoner Baton,0,False
Shamshir,Bullova,Tabar,0,False
Shamshir,Crescent,Tabar,0,False
Falchion,Hand Axe,Short Sword,0,False
Falchion,Battle Axe,Rapier,0,False
Falchion,Francisca,Rapier,0,False
Falchion,Tabarzin,Short Sword,0,False
Falchion,Chamkaq,Large Crescent,0,False
Falchion,Tabar,War Hammer,0,False
Falchion,Bullova,Shamanic Staff,0,False
Falchion,Crescent,Bullova,0,False
Shotel,Hand Axe,Firangi,0,False
Shotel,Battle Axe,Short Sword,0,False
Shotel,Francisca,Rapier,0,False
Shotel,Tabarzin,Short Sword,0,False
Shotel,Chamkaq,Firangi,0,False
Shotel,Tabar,Sabre Halberd,0,False
Shotel,Bullova,Bec de Corbin,0,False
Khora,Hand Axe,Shamshir,0,False
Khora,Battle Axe,Firangi,0,False
Khora,Francisca,Short Sword,0,False
Khora,Tabarzin,Short Sword,0,False
Khora,Chamkaq,Firangi,0,False
Khora,Tabar,Shamshir,0,False
Khora,Bullova,Balbriggan,0,False
Khora,Crescent,War Maul,0,False
Khopesh,Hand Axe,Falchion,0,False
Khopesh,Battle Axe,Shamshir,0,False
Khopesh,Francisca,Firangi,0,False
Khopesh,Tabarzin,Short Sword,0,False
Khopesh,Chamkaq,Firangi,0,False
Khopesh,Tabar,Shamshir,0,False
Khopesh,Bullova,Falchion,0,False
Khopesh,Crescent,Double Blade,0,False
Wakizashi,Hand Axe,Shotel,0,False
Wakizashi,Battle Axe,Falchion,0,False
Wakizashi,Francisca,Shamshir,0,False
Wakizashi,Tabarzin,Firangi,0,False
Wakizashi,Chamkaq,Firangi,0,False
Wakizashi,Tabar,Shamshir,0,False
Wakizashi,Bullova,Falchion,0,False
Wakizashi,Crescent,Shotel,0,False
Rhomphaia,Hand Axe,Hand Axe,0,False
Rhomphaia,Battle Axe,Battle Axe,0,False
Rhomphaia,Francisca,Francisca,0,False
Rhomphaia,Tabarzin,Tabarzin,0,False
Rhomphaia,Chamkaq,Chamkaq,0,False
Rhomphaia,Tabar,Tabar,0,False
Rhomphaia,Bullova,Bullova,0,False
Rhomphaia,Crescent,Crescent,0,False
