slot1,slot2,result,tier_change,has_swap
Spatha,Broad Sword,Broad Sword,0,False
Spatha,Norse Sword,Broad Sword,0,False
Spatha,Katana,Broad Sword,0,False
Spatha,Executioner,Norse Sword,0,False
Spatha,Claymore,Katana,0,False
Spatha,Schiavona,Executioner,0,False
Spatha,Bastard Sword,Claymore,0,False
Spatha,Nodachi,Schiavona,0,False
Spatha,Rune Blade,Bastard Sword,0,False
Spatha,Holy Win,Spatha,0,False
Scimitar,Broad Sword,Spatha,0,False
Scimitar,Norse Sword,Norse Sword,0,False
Scimitar,Katana,Norse Sword,0,False
Scimitar,Executioner,Norse Sword,0,False
Scimitar,Claymore,Norse Sword,0,False
Scimitar,Schiavona,Katana,0,False
Scimitar,Bastard Sword,Executioner,0,False
Scimitar,Nodachi,Claymore,0,False
Scimitar,Rune Blade,Schiavona,0,False
Scimitar,Holy Win,Scimitar,0,False
Rapier,Broad Sword,Spatha,0,False
Rapier,Norse Sword,Hand Axe,0,False
Rapier,Katana,Katana,0,False
Rapier,Executioner,Katana,0,False
Rapier,Claymore,Katana,0,False
Rapier,Schiavona,Katana,0,False
Rapier,Bastard Sword,Katana,0,False
Rapier,Nodachi,Executioner,0,False
Rapier,Rune Blade,Claymore,0,False
Rapier,Holy Win,Rapier,0,False
Short Sword,Broad Sword,Spatha,0,False
Short Sword,Norse Sword,Scimitar,0,False
Short Sword,Katana,Battle Axe,0,False
Short Sword,Executioner,Executioner,0,False
Short Sword,Claymore,Executioner,0,False
Short Sword,Schiavona,Executioner,0,False
Short Sword,Bastard Sword,Executioner,0,False
Short Sword,Nodachi,Executioner,0,False
Short Sword,Rune Blade,Executioner,0,False
Short Sword,Holy Win,Short Sword,0,False
Firangi,Broad Sword,Scimitar,0,False
Firangi,Norse Sword,Scimitar,0,False
Firangi,Katana,Goblin Club,0,False
Firangi,Executioner,Francisca,0,False
Firangi,Claymore,Guisarme,0,False
Firangi,Schiavona,Claymore,0,False
Firangi,Bastard Sword,Claymore,0,False
Firangi,Nodachi,Claymore,0,False
Firangi,Rune Blade,Claymore,0,False
Firangi,Holy Win,Firangi,0,False
Shamshir,Broad Sword,Rapier,0,False
Shamshir,Norse Sword,Scimitar,0,False
Shamshir,Katana,Rapier,0,False
Shamshir,Executioner,Spiked Club,0,False
Shamshir,Claymore,Tabarzin,0,False
Shamshir,Schiavona,Large Crescent,0,False
Shamshir,Bastard Sword,Schiavona,0,False
Shamshir,Nodachi,Schiavona,0,False
Shamshir,Rune Blade,Schiavona,0,False
Shamshir,Holy Win,Shamshir,0,False
Falchion,Broad Sword,Short Sword,0,False
Falchion,Norse Sword,Rapier,0,False
Falchion,Katana,Rapier,0,False
Falchion,Executioner,Short Sword,0,False
Falchion,Claymore,Ball Mace,0,False
Falchion,Schiavona,Chamkaq,0,False
Falchion,Bastard Sword,Sabre Halberd,0,False
Falchion,Nodachi,Bastard Sword,0,False
Falchion,Rune Blade,Bastard Sword,0,False
Falchion,Holy Win,Falchion,0,False
Shotel,Broad Sword,Firangi,0,False
Shotel,Norse Sword,Short Sword,0,False
Shotel,Katana,Rapier,0,False
Shotel,Executioner,Short Sword,0,False
Shotel,Claymore,Firangi,0,False
Shotel,Bastard Sword,Tabar,0,False
Shotel,Nodachi,Balbriggan,0,False
Shotel,Rune Blade,Nodachi,0,False
Shotel,Holy Win,Shotel,0,False
Khora,Broad Sword,Shamshir,0,False
Khora,Norse Sword,Firangi,0,False
Khora,Katana,Short Sword,0,False
Khora,Executioner,Short Sword,0,False
Khora,Claymore,Firangi,0,False
Khora,Schiavona,Shamshir,0,False
Khora,Bastard Sword,Morning Star,0,False
Khora,Nodachi,Bullova,0,False
Khora,Rune Blade,Double Blade,0,False
Khora,Holy Win,Khora,0,False
Khopesh,Broad Sword,Falchion,0,False
Khopesh,Norse Sword,Shamshir,0,False
Khopesh,Katana,Firangi,0,False
Khopesh,Executioner,Short Sword,0,False
Khopesh,Claymore,Firangi,0,False
Khopesh,Schiavona,Shamshir,0,False
Khopesh,Bastard Sword,Falchion,0,False
Khopesh,Nodachi,War Hammer,0,False
Khopesh,Rune Blade,Crescent,0,False
Khopesh,Holy Win,Khopesh,0,False
Wakizashi,Broad Sword,Shotel,0,False
Wakizashi,Norse Sword,Falchion,0,False
Wakizashi,Katana,Shamshir,0,False
Wakizashi,Executioner,Firangi,0,False
Wakizashi,Claymore,Firangi,0,False
Wakizashi,Schiavona,Shamshir,0,False
Wakizashi,Bastard Sword,Falchion,0,False
Wakizashi,Nodachi,Shotel,0,False
Wakizashi,Rune Blade,Bec de Corbin,0,False
Wakizashi,Holy Win,Wakizashi,0,False
Rhomphaia,Broad Sword,Broad Sword,0,False
Rhomphaia,Norse Sword,Norse Sword,0,False
Rhomphaia,Katana,Katana,0,False
Rhomphaia,Executioner,Executioner,0,False
Rhomphaia,Claymore,Claymore,0,False
Rhomphaia,Schiavona,Schiavona,0,False
Rhomphaia,Bastard Sword,Bastard Sword,0,False
Rhomphaia,Nodachi,Nodachi,0,False
Rhomphaia,Rune Blade,Rune Blade,0,False
Rhomphaia,Holy Win,Rhomphaia,0,False
