slot1,slot2,result,tier_change,has_swap
Spatha,Langdebeve,Spear,0,False
Spatha,Sabre Mace,Sabre Mace,0,False
Spatha,Gloomwing,Sabre Mace,0,False
Spatha,Griever,Gloomwing,0,False
Spatha,Destroyer,Mjolnir,0,False
Spatha,Hand of Light,Spatha,0,False
Scimitar,Langdebeve,Gastraph Bow,0,False
Scimitar,Sabre Mace,Spatha,0,False
Scimitar,Gloomwing,Sabre Mace,0,False
Scimitar,Mjolnir,Sabre Mace,0,False
Scimitar,Destroyer,Gloomwing,0,False
Scimitar,Hand of Light,Scimitar,0,False
Rapier,Langdebeve,Spatha,0,False
Rapier,Sabre Mace,Glaive,0,False
Rapier,Destroyer,Gloomwing,0,False
Rapier,Hand of Light,Rapier,0,False
Short Sword,Langdebeve,Spatha,0,False
Short Sword,Sabre Mace,Light Crossbow,0,False
Short Sword,Hand of Light,Short Sword,0,False
Firangi,Langdebeve,Scimitar,0,False
Firangi,Sabre Mace,Scimitar,0,False
Firangi,Gloomwing,Rapier,0,False
Firangi,Mjolnir,Gloomwing,0,False
Firangi,Griever,Gloomwing,0,False
Firangi,Destroyer,Gloomwing,0,False
Firangi,Hand of Light,Firangi,0,False
Shamshir,Langdebeve,Rapier,0,False
Shamshir,Sabre Mace,Scimitar,0,False
Shamshir,Gloomwing,Corcesca,0,False
Shamshir,Mjolnir,Gloomwing,0,False
Shamshir,Griever,Gloomwing,0,False
Shamshir,Destroyer,Gloomwing,0,False
Shamshir,Hand of Light,Shamshir,0,False
Falchion,Langdebeve,Short Sword,0,False
Falchion,Sabre Mace,Rapier,0,False
Falchion,Gloomwing,Windlass,0,False
Falchion,Mjolnir,Short Sword,0,False
Falchion,Griever,Mjolnir,0,False
Falchion,Destroyer,Mjolnir,0,False
Falchion,Hand of Light,Falchion,0,False
Shotel,Langdebeve,Firangi,0,False
Shotel,Sabre Mace,Short Sword,0,False
Shotel,Gloomwing,Short Sword,0,False
Shotel,Mjolnir,Trident,0,False
Shotel,Griever,Mjolnir,0,False
Shotel,Destroyer,Mjolnir,0,False
Shotel,Hand of Light,Shotel,0,False
Khora,Langdebeve,Shamshir,0,False
Khora,Sabre Mace,Firangi,0,False
Khora,Gloomwing,Short Sword,0,False
Khora,Mjolnir,Cranequin,0,False
Khora,Griever,Firangi,0,False
Khora,Destroyer,Griever,0,False
Khora,Hand of Light,Khora,0,False
Khopesh,Langdebeve,Falchion,0,False
Khopesh,Sabre Mace,Shamshir,0,False
Khopesh,Gloomwing,Short Sword,0,False
Khopesh,Mjolnir,Firangi,0,False
Khopesh,Griever,Awl Pike,0,False
Khopesh,Destroyer,Griever,0,False
Khopesh,Hand of Light,Khopesh,0,False
Wakizashi,Langdebeve,Shotel,0,False
Wakizashi,Sabre Mace,Falchion,0,False
Wakizashi,Gloomwing,Firangi,0,False
Wakizashi,Mjolnir,Firangi,0,False
Wakizashi,Griever,Lug Crossbow,0,False
Wakizashi,Destroyer,Shamshir,0,False
Wakizashi,Hand of Light,Wakizashi,0,False
Rhomphaia,Langdebeve,Langdebeve,0,False
Rhomphaia,Sabre Mace,Sabre Mace,0,False
Rhomphaia,Gloomwing,Gloomwing,0,False
Rhomphaia,Mjolnir,Mjolnir,0,False
Rhomphaia,Griever,Griever,0,False
Rhomphaia,Destroyer,Destroyer,0,False
Rhomphaia,Hand of Light,Rhomphaia,0,True
Hand of Light,Rhomphaia,Hand of Light,0,True
