slot1,slot2,result,tier_change,has_swap
Spatha,Wizard Staff,Sabre Mace,0,False
Spatha,Clergy Rod,Wizard Staff,0,False
Spatha,Summoner Baton,Clergy Rod,0,False
Spatha,Shamanic Staff,Summoner Baton,0,False
Scimitar,Wizard Staff,Spear,0,False
Scimitar,Clergy Rod,Gastraph Bow,0,False
Scimitar,Summoner Baton,Clergy Rod,0,False
Scimitar,Shamanic Staff,Summoner Baton,0,False
Rapier,Wizard Staff,Spatha,0,False
Rapier,Summoner Baton,Clergy Rod,0,False
Rapier,Shamanic Staff,Clergy Rod,0,False
Short Sword,Wizard Staff,Spatha,0,False
Short Sword,Clergy Rod,Glaive,0,False
Short Sword,Summoner Baton,Light Crossbow,0,False
Short Sword,Shamanic Staff,Summoner Baton,0,False
Firangi,Wizard Staff,Scimitar,0,False
Firangi,Clergy Rod,Scimitar,0,False
Firangi,Summoner Baton,Gloomwing,0,False
Firangi,Shamanic Staff,Summoner Baton,0,False
Shamshir,Wizard Staff,Rapier,0,False
Shamshir,Clergy Rod,Scimitar,0,False
Shamshir,Summoner Baton,Scorpion,0,False
Shamshir,Shamanic Staff,Target Bow,0,False
Falchion,Wizard Staff,Short Sword,0,False
Falchion,Clergy Rod,Rapier,0,False
Falchion,Summoner Baton,Rapier,0,False
Falchion,Shamanic Staff,Mjolnir,0,False
Shotel,Wizard Staff,Firangi,0,False
Shotel,Clergy Rod,Short Sword,0,False
Shotel,Summoner Baton,Rapier,0,False
Shotel,Shamanic Staff,Corcesca,0,False
Khora,Wizard Staff,Shamshir,0,False
Khora,Clergy Rod,Firangi,0,False
Khora,Summoner Baton,Short Sword,0,False
Khora,Shamanic Staff,Short Sword,0,False
Khopesh,Wizard Staff,Falchion,0,False
Khopesh,Clergy Rod,Shamshir,0,False
Khopesh,Summoner Baton,Firangi,0,False
Khopesh,Shamanic Staff,Short Sword,0,False
Wakizashi,Wizard Staff,Shotel,0,False
Wakizashi,Clergy Rod,Falchion,0,False
Wakizashi,Summoner Baton,Shamshir,0,False
Wakizashi,Shamanic Staff,Firangi,0,False
Rhomphaia,Wizard Staff,Wizard Staff,0,False
Rhomphaia,Clergy Rod,Clergy Rod,0,False
Rhomphaia,Summoner Baton,Summoner Baton,0,False
Rhomphaia,Shamanic Staff,Shamanic Staff,0,False
