slot1,slot2,result,tier_change,has_swap
Buckler,Buckler,Buckler,0,False
Buckler,Pelta,Buckler,0,False
Buckler,Targe,Pelta,0,False
Buckler,Quad,Buckler,0,False
Buckler,Circle,Targe,0,False
Buckler,Tower,Buckler,0,False
Buckler,Spiked,Quad,0,False
Buckler,Round,Buckler,0,False
Buckler,Kite,Pelta,0,False
Buckler,Casserole,Targe,0,False
Buckler,Heater,Quad,0,False
Buckler,Oval,Circle,0,False
Buckler,Knight,Tower,0,False
Buckler,Hoplite,Spiked,0,False
Buckler,Jazeraint,Round,0,False
Buckler,Dread,Kite,0,False
Pelta,Pelta,Pelta,0,False
Pelta,Targe,Quad,1,False
Pelta,Quad,Targe,0,False
Pelta,Circle,Buckler,-1,False
Pelta,Tower,Pelta,0,False
Pelta,Spiked,Buckler,-1,False
Pelta,Round,Pelta,0,False
Pelta,Kite,Buckler,-1,False
Pelta,Casserole,Pelta,0,False
Pelta,Heater,Targe,0,False
Pelta,Oval,Quad,0,False
Pelta,Knight,Circle,0,False
Pelta,Hoplite,Tower,0,False
Pelta,Jazeraint,Spiked,0,False
Pelta,Dread,Round,0,False
Targe,Targe,Targe,0,False
Targe,Quad,Circle,1,False
Targe,Circle,Pelta,-1,False
Targe,Tower,Buckler,-1,False
Targe,Spiked,Spiked,0,False
Targe,Round,Buckler,-1,False
Targe,Kite,Targe,0,True
Kite,Targe,Buckler,-1,True
Targe,Casserole,Spiked,0,False
Targe,Heater,Pelta,-1,False
Targe,Oval,Targe,0,False
Targe,Knight,Quad,0,False
Targe,Hoplite,Circle,0,False
Targe,Jazeraint,Tower,0,False
Targe,Dread,Spiked,0,False
Quad,Quad,Quad,0,False
Quad,Circle,Tower,1,False
Quad,Tower,Spiked,1,False
Quad,Spiked,Targe,-1,False
Quad,Round,Round,0,False
Quad,Kite,Buckler,-1,False
Quad,Casserole,Buckler,-1,True
Casserole,Quad,Targe,-1,True
Quad,Heater,Buckler,-1,False
Quad,Oval,Pelta,-1,False
Quad,Knight,Targe,-1,False
Quad,Hoplite,Quad,0,False
Quad,Jazeraint,Circle,0,False
Quad,Dread,Tower,0,False
Circle,Circle,Circle,0,False
Circle,Tower,Spiked,1,False
Circle,Spiked,Round,1,False
Circle,Round,Buckler,-1,False
Circle,Kite,Spiked,0,False
Circle,Casserole,Kite,0,False
Circle,Heater,Quad,-1,False
Circle,Oval,Buckler,-1,False
Circle,Knight,Pelta,-1,False
Circle,Hoplite,Targe,-1,False
Circle,Jazeraint,Quad,-1,False
Circle,Dread,Circle,0,False
Tower,Tower,Tower,0,False
Tower,Spiked,Round,1,False
Tower,Round,Kite,1,False
Tower,Kite,Buckler,-1,False
Tower,Casserole,Targe,-1,False
Tower,Heater,Kite,0,False
Tower,Oval,Targe,-1,False
Tower,Knight,Buckler,-1,False
Tower,Hoplite,Pelta,-1,False
Tower,Jazeraint,Targe,-1,False
Tower,Dread,Quad,-1,False
Spiked,Spiked,Spiked,0,False
Spiked,Round,Kite,1,False
Spiked,Kite,Casserole,1,False
Spiked,Casserole,Buckler,-1,False
Spiked,Heater,Round,0,False
Spiked,Oval,Kite,0,False
Spiked,Knight,Casserole,0,False
Spiked,Hoplite,Buckler,-1,False
Spiked,Jazeraint,Pelta,-1,False
Spiked,Dread,Targe,-1,False
Round,Round,Round,0,False
Round,Kite,Casserole,1,False
Round,Casserole,Heater,1,False
Round,Heater,Buckler,-1,False
Round,Oval,Casserole,0,False
Round,Knight,Circle,-1,False
Round,Hoplite,Quad,-1,False
Round,Jazeraint,Buckler,-1,False
Round,Dread,Pelta,-1,False
Kite,Kite,Kite,0,False
Kite,Casserole,Heater,1,False
Kite,Heater,Buckler,-1,False
Kite,Oval,Targe,-1,False
Kite,Knight,Buckler,-1,False
Kite,Hoplite,Casserole,0,False
Kite,Jazeraint,Buckler,-1,False
Kite,Dread,Buckler,-1,False
Casserole,Casserole,Casserole,0,False
Casserole,Heater,Oval,1,False
Casserole,Oval,Spiked,-1,False
Casserole,Knight,Round,-1,True
Knight,Casserole,Buckler,-1,True
Casserole,Hoplite,Buckler,-1,True
Hoplite,Casserole,Round,-1,True
Casserole,Jazeraint,Buckler,-1,False
Casserole,Dread,Targe,-1,False
Heater,Heater,Heater,0,False
Heater,Oval,Knight,1,False
Heater,Knight,Targe,-1,False
Heater,Hoplite,Circle,-1,False
Heater,Jazeraint,Kite,-1,False
Heater,Dread,Buckler,-1,False
Oval,Oval,Oval,0,False
Oval,Knight,Hoplite,1,False
Oval,Hoplite,Quad,-1,False
Oval,Jazeraint,Buckler,-1,False
Oval,Dread,Spiked,-1,False
Knight,Knight,Knight,0,False
Knight,Hoplite,Buckler,-1,False
Knight,Jazeraint,Quad,-1,False
Knight,Dread,Buckler,-1,False
Hoplite,Hoplite,Jazeraint,1,False
Hoplite,Jazeraint,Buckler,-1,False
Hoplite,Dread,Circle,-1,False
Jazeraint,Jazeraint,Dread,1,False
Jazeraint,Dread,Buckler,-1,False
Dread,Dread,Dread,0,False
