slot1,slot2,material1,material2,result_material,tier_change
Shield,Shield,W,W,W,0
Shield,Shield,B,W,B,0
Shield,Shield,I,W,I,0
Shield,Shield,H,W,H,0
Shield,Shield,S,W,S,0
Shield,Shield,D,W,D,0
Shield,Shield,W,B,B,0
Shield,Shield,B,B,B,0
Shield,Shield,I,B,H,1
Shield,Shield,H,B,H,0
Shield,Shield,S,B,B,0
Shield,Shield,D,B,H,0
Shield,Shield,W,I,I,0
Shield,Shield,B,I,H,1
Shield,Shield,I,I,I,0
Shield,Shield,H,I,H,0
Shield,Shield,S,I,I,0
Shield,Shield,D,I,H,0
Shield,Shield,W,H,H,0
Shield,Shield,B,H,S,1
Shield,Shield,I,H,H,0
Shield,Shield,H,H,H,0
Shield,Shield,S,H,H,0
Shield,Shield,D,H,H,0
Shield,Shield,W,S,S,0
Shield,Shield,B,S,B,0
Shield,Shield,I,S,I,0
Shield,Shield,H,S,H,0
Shield,Shield,S,S,S,0
Shield,Shield,D,S,S,0
Shield,Shield,W,D,D,0
Shield,Shield,B,D,H,0
Shield,Shield,I,D,H,0
Shield,Shield,H,D,H,0
Shield,Shield,S,D,S,0
Shield,Shield,D,D,D,0
